,cor_name,cor_rate,obligation
506,유티아이,5.05:1,0.40%
507,신흥에스이씨,482.4:1,33.10%
508,엠플러스,596.2:1,27.20%
509,선익시스템,7.87:1,0.00%
510,샘코,19.26:1,0.96%
511,앱클론,564.87:1,21.72%
512,펄어비스,62.40:1,6.22%
513,케이피에스,75.3:1,0.00%
514,덕우전자,282.69:1,11.35%
515,하나금융스팩10호,,0.00%
516,이더블유케이,588.13:1,25.95%
517,컬러레이,60.49:1,0.00%
518,엔에이치스팩12호,,0.00%
519,알에스오토메이션,656.89:1,61.00%
520,모트렉스,357.12:1,11.24%
521,디앤씨미디어,539.1:1,33.50%
522,데이타솔루션,395.83:1,23.09%
523,지니언스,620.04:1,14.50%
524,셀트리온헬스케어,38.06:1,12.50%
525,이즈미디어,129.22:1,1.38%
526,한국스팩5호,,0.00%
527,힘스,729.64:1,27.48%
528,아우딘퓨쳐스,182.60:1,0.00%
529,브이원텍,557.47:1,8.30%
530,제일홀딩스,113.98:1,2.88%
531,하나금융스팩9호,,0.00%
532,교보스팩7호,,0.00%
533,한화수성스팩,,0.00%
534,보라티알,557.61:1,13.30%
535,삼양옵틱스,33.2:1,8.70%
536,필옵틱스,647.18:1,13.25%
537,IBKS스팩6호,,0.00%
538,미래에셋대우스팩1호,,0.00%
539,엔에이치스팩10호,,0.00%
540,한화에이스스팩3호,,0.00%
541,하나머티리얼즈,689.90:1,49.73%
542,케이비스팩11호,,0.00%
543,넷마블게임즈,240.74:1,47.10%
544,와이엠티,706.16:1,42.75%
545,ING생명보험,3.97:1,0.13%
546,신영스팩3호,,0.00%
547,이엘피,527.12:1,11.26%
548,서진시스템,588.93:1,36.65%
549,코미코,580.68:1,30.91%
550,아스타,18.4:1,0.00%
551,덴티움,22.96:1,0.40%
552,대신밸런스스팩4호,,0.00%
553,에스디생명공학,26.66:1,0.00%
554,모바일어플라이언스,471.31:1,19.13%
555,신한스팩3호,,0.00%
556,에프엔에스테크,624.02:1,6.26%
557,신신제약,40.88:1,0.06%
558,피씨엘,6.61:1,0.46%
559,호전실업,40.43:1,2.50%
560,서플러스글로벌,81.31:1,1.04%
561,유바이오로직스,31.09:1,0.00%
562,엔에이치스팩11호,,0.00%
563,퓨전데이타,345.36:1,12.05%
564,디에스씨인베스트먼트,11.2:1,0.00%
565,티에스인베스트먼트,30.87:1,0.00%
566,마이크로프랜드,124.3:1,0.00%
567,코썬바이오,54.22:1,0.00%
568,신라젠,74.98:1,0.00%
569,애니젠,93.9:1,0.00%
570,유니온커뮤니티,134.5:1,0.00%
571,IBKS스팩5호,,0.00%
572,퓨쳐켐,62.51:1,0.00%
573,뉴파워프라즈마,501.2:1,7.80%
574,핸즈코퍼레이션,57.64:1,1.73%
575,오션브릿지,617.92:1,10.75%
576,엘앤케이바이오,220.1:1,0.00%
577,에이치엔티일렉트로닉스,132.1:1,0.00%
578,핸디소프트,262.22:1,0.00%
579,두산밥캣,9.81:1,0.00%
580,에스케이스팩3호,,0.00%
581,삼성바이오로직스,295.63:1,24.63%
582,클리오,153.08:1,10.42%
583,오가닉티코스메틱,672.02:1,11.30%
584,로고스바이오시스템스,190.16:1,0.53%
585,아이비케이에스지엠비스팩,,0.00%
586,인크로스,492.1:1,6.10%
587,에이치엘사이언스(구.건강사랑),274.19:1,5.60%
588,코스메카코리아,573.0:1,30.80%
589,제이더블유생명과학,224.57:1,7.41%
590,그레이트리치과기,140.75:1,4.32%
591,금세기차륜(골든센츄리),181.93:1,0.55%
592,인텔리안테크놀로지스,319:1,1.30%
593,에이치시티,95.67:1,11.60%
594,잉글우드랩,226.37:1,0.00%
595,앤디포스,406.09:1,10.60%
596,수산아이앤티(구.플러스기술),157.55:1,0.64%
597,미투온,73.1:1,0.00%
598,화승엔터프라이즈,48.46:1,0.21%
599,케이비스팩10호,,0.00%
600,엘에스전선아시아,30.57:1,0.00%
601,유니테크노,233.84:1,0.00%
602,교보비엔케이스팩,,0.00%
603,하나금융스팩8호,,0.00%
604,자이글,18.90:1,0.00%
605,헝셩그룹,93.06:1,0.00%
606,에코마케팅,941.86:1,0.00%
607,엔지스테크널러지,475.6:1,21.20%
608,두올,71.69:1,0.00%
609,팍스넷,753.07:1,5.19%
610,우리손에프앤지,455.1:1,40.40%
611,옵토팩,397.4:1,2.82%
612,장원테크,216.32:1,11.30%
613,대유위니아(구.위니아만도),76.75:1,1.32%
614,한국자산신탁,149.83:1,6.37%
615,바이오리더스,352.2:1,6.50%
616,피앤씨테크,306.39:1,10.89%
617,로스웰,386.96:1,26.60%
618,해성디에스,188.69:1,12.20%
619,에스티팜,717.41:1,60.03%
620,녹십자랩셀,733.72:1,51.66%
621,한국스팩4호,,0.00%
622,알엔투테크놀로지,570.26:1,0.00%
623,미래에셋스팩5호,,0.00%
624,용평리조트,28.1:1,0.10%
625,해태제과식품,342.99:1,24.63%
626,레이언스,430.31:1,20.70%
627,씨엠에스에듀,302.17:1,28.83%
628,동양파일,12.56:1,0.00%
629,대림씨엔에스,85.25:1,15.90%
630,팬젠,614.46:1,14.04%
631,하이에이아이스팩1호,,0.00%
632,IBKS스팩4호,,0.00%
633,에이피위성통신,271.55:1,7.80%
634,케이비스팩9호,,0.00%
635,큐리언트,709.15:1,35.24%
636,안트로젠,531.1:1,30.60%
637,제이에스코퍼레이션,433.6:1,35.90%
638,아이엠텍,112.3:1,25.00%
639,차이나크리스탈신소재,36.30:1,0.90%
640,유니트론텍,455.80:1,21.70%
641,한솔씨앤피,136.97:1,5.97%
642,에스와이패널,4.88:1,0.00%
643,코리아오토글라스,57.68:1,4.47%
644,육일씨엔에쓰,8.74:1,0.00%
645,코디엠,39.79:1,2.51%
646,대신밸런스스팩2호,,0.00%
647,이에스브이,23.29:1,2.38%
648,잇츠스킨,11.53:1,8.70%
649,아진산업,11.61:1,8.70%
650,휴젤,6.7:1,8.61%
651,한국맥널티,60.5:1,0.20%
652,덱스터,255.31:1,33.10%
653,메가엠디,16.67:1,7.50%
654,씨트리,4.7:1,0.60%
655,강스템바이오텍,11.35:1,0.00%
656,동부스팩4호,,0.00%
657,파크시스템스,50.29:1,57.30%
658,보광산업,15.47,0.00%
659,예스티,32.90:1,73.30%
660,뉴트리바이오텍,93.92:1,28.32%
661,멕아이씨에스,3.77:1,0.00%
662,하나금융스팩7호,,0.00%
663,엔에스,179.61:1,21.42%
664,세진중공업,8.89:1,26.50%
665,미래테크놀로지,117.30:1,5.70%
666,엠지메드,715.39:1,14.86%
667,매직마이크로,75.03:1,1.33%
668,케이디켐,66.20:1,3.00%
669,하이즈항공,47.27:1,0.89%
670,리드,42.89:1,7.00%
671,네오오토,113.08:1,3.54%
672,골든브릿지스팩4호,,0.00%
673,아이진,408.1:1,7.50%
674,나무가,108.34:1,3.62%
675,유앤아이,377.40:1,4.00%
676,케어젠,833.46,62.00%
677,금호에이치티,46.05:1,8.00%
678,에이치엠씨스팩3호,,0.00%
679,제주항공,378.67:1,77.99%
680,더블유게임즈,413.82:1,14.66%
681,연우,317:1,51.00%
682,키움스팩4호,,0.00%
683,현대드림스팩4호,,0.00%
684,에이티젠,695.7:1,40.60%
685,엑시콘,28.34:1,0.00%
686,이베스트스팩3호,,0.00%
687,에치디프로,362.84:1,6.21%
688,IBKS스팩3호,,0.00%
689,엘아이지넥스원,121.11:1,21.50%
690,동부스팩3호,,0.00%
691,신영해피투모로우2호스팩,,0.00%
692,타이거일렉,230.02:1,1.36%
693,동일제강,309.7:1,3.10%
694,엔에이치스팩9호,,0.00%
695,제너셈,326.77:1,4.15%
696,인포마크,251.2:1,12.00%
697,아이콘트롤스,272.96:1,29.10%
698,유진스팩3호,,0.00%
699,한국스팩3호,,0.00%
700,케이티비스팩3호,,0.00%
701,교보스팩5호,,0.00%
702,웹스,438.83:1,33.54%
703,현대드림스팩3호,,0.00%
704,에이제이네트웍스,197.15:1,20.06%
705,교보스팩4호,,0.00%
706,파인텍,382.64:1,45.68%
707,미래에셋스팩4호,,0.00%
708,흥국에프엔비,666.88:1,63.87%
709,케이비스팩8호,,0.00%
710,칩스앤미디어,123.2:1,0.00%
711,아시아경제신문사,280.85:1,15.82%
712,아이쓰리시스템,768.00:1,37.60%
713,로지시스,345.68:1,13.28%
714,엘아이지이에스스팩,,0.00%
715,파마리서치프로덕트,728.06:1,57.90%
716,에스케이스팩2호,,0.00%
717,펩트론,699.59:1,67.40%
718,한화에이스스팩2호,,0.00%
719,이노션,273.09:1,52.40%
720,유안타스팩2호,,0.00%
721,토니모리,441.86:1,55.20%
722,미래에셋생명보험,40.3:1,2.07%
723,키움스팩3호,,0.00%
724,민앤지,728.82:1,45.40%
725,골든브릿지스팩3호,,0.00%
726,동운아나텍,101.68:1,7.08%
727,엔에이치스팩8호,,0.00%
728,유테크,351.10:1,8.59%
729,코아스템,868.62:1,41.74%
730,에스엔텍,189.14:1,19.88%
731,경보제약,524.56:1,34.44%
732,이베스트스팩2호,,0.00%
733,세미콘라이트,187.7:1,4.50%
734,에스케이디앤디,570.59:1,36.70%
735,베셀,437.68:1,0.00%
736,하나머스트스팩5호,,0.00%
737,대신밸런스스팩1호,,0.00%
738,하이스팩3호,,0.00%
739,싸이맥스,238.72:1,2.93%
740,엔에이치스팩7호,,0.00%
741,한화에이씨피씨스팩,,0.00%
742,픽셀플러스,131.67:1,2.25%
743,제노포커스,842.79:1,41.12%
744,미래에셋스팩3호,,0.00%
745,대우스팩3호,,0.00%
746,한화엠지아이스팩,,0.00%
747,대우에스비아이스팩1호,,0.00%
748,엔에이치스팩5호,,0.00%
749,유진에이씨피씨스팩2호,,0.00%
750,하나머스트스팩4호,,0.00%
751,한화에이스스팩1호,,0.00%
752,유지인트,643.70:1,27.15%
753,케이티비스팩2호,,0.00%
754,케이비스팩7호,,0.00%
755,NS쇼핑(구.농수산홈쇼핑),302.59:1,15.66%
756,세화아이엠씨,216.35:1,10.45%
757,포시에스,344.23:1,0.00%
758,골든브릿지스팩2호,,0.00%
759,국일신동,29.25:1,0.00%
760,NH스팩2호,,0.00%
761,영백씨엠,43.42:1,0.00%
762,케이비스팩6호,,0.00%
763,케이비스팩5호,,0.00%
764,교보스팩3호,,0.00%
765,현대드림스팩2호,,0.00%
766,오킨스전자,268.25:1,0.00%
767,넥스트엔터테인먼트월드,214.69:1,9.59%
768,하나머스트스팩3호,,0.00%
769,아스트,74.59:1,5.74%
770,아이티센,54.13:1,0.00%
771,서전기전,11.54:1,0.00%
772,하이셈,50.03:1,0.00%
773,휴메딕스,688.80:1,35.18%
774,제일모직(구.삼성에버랜드),465:1,35.14%
775,하나머스트스팩2호,,0.00%
776,하이로닉,500.56:1,22.70%
777,디티앤씨(구.디지털이엠씨),559.02:1,74.30%
778,엘아이지스팩2호,,0.00%
779,녹십자엠에스,474.11:1,0.00%
780,랩지노믹스,423.83:1,0.00%
781,에이디테크놀로지,33.19:1,7.53%
782,우리에스엘스팩,,0.00%
783,동부스팩2호,,0.00%
784,알테오젠,409.2:1,14.40%
785,비씨월드제약,356.75:1,26.60%
786,한국스팩2호,,0.00%
787,에스케이씨코오롱피아이,23.01:1,0.00%
788,에프엔씨엔터테인먼트,185.35:1,9.91%
789,대창스틸,219.91:1,0.00%
790,하이스팩2호,24.64:1,0.00%
791,씨에스윈드,109.3:1,1.79%
792,케이티비스팩1호,,0.00%
793,텔콘,162.88:1,5.53%
794,IBKS스팩2호,,0.00%
795,디에이테크놀로지,55.28:1,1.81%
796,파티게임즈,224.12:1,24.62%
797,유안타스팩1호,,0.00%
798,삼성SDS,651.5:1,48.11%
799,케이비스팩4호,,0.00%
800,교보위드스팩,,0.00%
801,현대에이블스팩1호,,0.00%
802,테고사이언스,591.09:1,30.50%
803,슈피겐코리아,255.6:1,30.86%
804,테라셈,18.41:1,0.00%
805,영우디에스피,17.07:1,0.00%
806,대우스팩2호,,0.00%
807,신한스팩2호,,0.00%
808,데브시스터즈,651.66:1,29.98%
809,메디아나,86:1,0.00%
810,KB스팩3호,,0.00%
811,감마누,608.66:1,0.00%
812,우리스팩3호,,0.00%
813,쿠쿠전자,598.86:1,65.18%
814,신화콘텍,441.99:1,10.37%
815,덕신하우징,650.72:1,59.86%
816,파버나인,264.04:1,0.00%
817,창해에탄올,578.20:1,59.50%
818,미래에셋스팩2호,,0.00%
819,윈하이텍,444.1:1,55.60%
820,아진엑스텍,478.65:1,0.00%
821,화인베스틸,85.45:1,0.00%
822,트루윈,,0.00%
823,하나머스트스팩,,0.00%
824,캐스텍코리아,,0.00%
825,BGF리테일(구.보광훼미리마트),,0.00%
826,유진스팩1호,,0.00%
827,KB스팩2호,,0.00%
828,오이솔루션,,0.00%
829,인터파크INT,,0.00%
830,한국정보인증,,0.00%
831,솔루에타,,0.00%
832,이지웰페어,,0.00%
833,키움제2호스팩,,0.00%
834,인트로메딕,,0.00%
835,기가레인(구.맥시스),,0.00%
836,알티캐스트,,0.00%
837,엔브이에이치코리아,,0.00%
838,현대공업,,0.00%
839,우리기업인수목적2호,,0.00%
840,디엠티,,0.00%
841,신송홀딩스,,0.00%
842,램테크놀러지,,0.00%
843,라이온켐텍,,0.00%
844,미동전자통신,,0.00%
845,에이씨티,,0.00%
846,해성옵틱스,,0.00%
847,내츄럴엔도텍,,86.16%
848,현대로템,,0.00%
849,테스나,,0.00%
850,파수닷컴,,0.00%
851,엘티씨,,0.00%
852,지엔씨에너지,,82.44%
853,아미코젠,,0.00%
854,파이오링크,,0.00%
855,금호N.T,,73.80%
856,KG이티에스,,0.00%
857,나스미디어,,0.00%
858,엑세스바이오,,0.00%
859,디에스알,,0.00%
860,레고켐바이오사이언스,,8.48%
861,삼목강업,,0.00%
862,세호로보트,,71.50%
863,윈팩,,0.00%
864,코렌텍,,12.53%
865,제로투세븐,,0.00%
866,지디,,0.00%
867,아이원스,,0.00%
868,우리이앤엘,,0.00%
869,아이센스,,0.00%
870,포티스,,0.00%
871,씨에스엘쏠라,,11.31%
872,SBIAXES(구.AXES홀딩스),,0.00%
873,우리로광통신,,0.00%
874,디젠스,,0.00%
875,맥스로텍,,0.00%
876,GMB코리아,,0.00%
877,와이엠씨,,0.00%
878,CJ헬로비전,,0.00%
879,아바텍,,0.00%
880,코이즈,,0.00%
881,모다정보통신,,0.00%
882,나노스,,0.00%
883,에이제이렌터카(구.아주오토렌탈),,0.00%
884,우양에이치씨,,0.00%
885,엠씨넥스,,0.00%
886,네이블커뮤니케이션즈,,0.00%
887,디지탈옵틱,,0.00%
888,피엔티,,0.00%
889,사조씨푸드,,0.00%
890,비아트론,,0.00%
891,에스비아이모기지,,0.00%
892,코오롱패션머티리얼,,0.00%
893,빛샘전자,,0.00%
894,휴비스,,0.00%
895,사람인에이치알,,0.00%
896,뉴로스,,0.00%
897,남화토건,,0.00%
898,동아팜텍,,0.00%
899,원익머트리얼즈,,0.00%
900,나이스디앤비,,0.00%
901,GS리테일(지에스리테일),,0.00%
902,디엔에이링크,,0.00%
903,시큐브,,0.00%
904,서암기계공업,,1.19%
905,씨유메디칼시스템,,0.00%
906,인터지스,,0.00%
907,넥스트리밍,,0.00%
908,에스에프씨,,0.00%
909,티브이로직,,0.00%
910,사파이어테크놀로지,,0.00%
911,신진에스엠,,0.00%
912,이엠넷,,0.00%
913,와이지엔터테인먼트,,0.00%
914,쎄미시스코,,0.00%
915,테크윙,,0.00%
916,아이테스트,,0.00%
917,신흥기계,,0.00%
918,씨큐브,,0.00%
919,씨엔플러스,,0.00%
920,테라세미콘,,0.00%
921,케이맥,,0.00%
922,넥솔론,,0.00%
923,로보스타,,0.00%
924,대한과학,,0.00%
925,피앤이솔루션,,0.00%
926,화진,,0.00%
927,제이씨케미칼,,0.00%
928,제닉,,0.00%
929,아이씨디,,0.00%
930,경봉,,0.00%
931,상아프론테크,,0.00%
932,삼원강재,,0.00%
933,옵티시스,,0.00%
934,나이벡,,0.00%
935,신세계인터내셔날,,0.00%
936,대양전기공업,,0.00%
937,한국항공우주산업,,0.00%
938,하이마트,,0.00%
939,탑금속,,0.00%
940,쓰리피시스템,,0.00%
941,엠케이트렌드,,0.00%
942,완리인터내셔널홀딩스,,0.00%
943,리켐,,0.00%
944,넥스트아이,,0.00%
945,코오롱플라스틱,,0.00%
946,엘티에스,,0.00%
947,KT스카이라이프,,0.00%
948,세아특수강,,0.00%
949,케이엠에이치,,0.00%
950,골프존,,0.00%
951,한국종합기술,,0.00%
952,이퓨쳐,,0.00%
953,티케이케미칼,,0.00%
954,일진머티리얼즈,,0.00%
955,현대위아,,0.00%
956,부스타,,0.00%
957,나노신소재,,0.00%
958,케이아이엔엑스,,0.00%
959,티피씨,,0.00%
960,제이엔케이히터,,0.00%
961,엘비세미콘,,0.00%
962,딜리,,0.00%
963,블루콤,,0.00%
964,인트론바이오테크놀로지,,0.00%
965,씨그널정보통신,,0.00%
966,중국고섬공고,,0.00%
967,다나와,,0.00%
968,KB게임(KB스팩),,0.00%
969,티에스이,,0.00%
970,인텍플러스,,0.00%
971,두산엔진,,0.00%
972,대구도시가스,,0.00%
973,현대HCN,,0.00%
974,액트,,0.00%
975,IBKS스마트스팩,,0.00%
976,한전산업개발,,0.00%
977,대정화금,,8.69%
978,케이티스(구.한국인포서비스),,0.00%
979,동부티에스블랙펄스팩,,0.00%
980,하이제1호스팩,,0.00%
981,세우테크,,0.00%
982,대구방송,,0.00%
983,코라오홀딩스,,0.00%
984,케이티롤,,0.00%
985,시그네틱스,,0.00%
986,한국전자인증,,0.00%
987,코프라,,0.00%
988,디케이락,,0.00%
989,하나그린스팩1호,,0.00%
990,케이엔엔,,0.00%
991,아나패스,,0.00%
992,삼본정밀전자,,0.00%
993,부국퓨쳐스타즈스팩,,0.00%
994,아이텍반도체,,0.00%
995,누리플랜,,0.00%
996,인화정공,,0.00%
997,코렌,,0.00%
998,아이씨코리아,,0.00%
999,키움제1호스팩,,0.00%
1000,휠라코리아,,0.00%
1001,포메탈,,0.00%
1002,케이티씨에스(구.한국인포데이타,,0.00%
1003,성융광전투자,,0.00%
1004,다원시스,,0.00%
1005,알파칩스,,0.00%
1006,와이솔,,0.00%
1007,현대홈쇼핑,,0.00%
1008,이트레이드1호스팩,,0.00%
1009,씨젠,,0.00%
1010,에이치엠씨아이비1호스팩,,0.00%
1011,교보케이티비스팩,,0.00%
1012,에스비아이앤솔로몬드림스팩,,0.00%
1013,대신증권그로쓰알파,,0.00%
1014,한국투자신성장1호스팩,,0.00%
1015,도화종합기술공사,,0.00%
1016,엠에스오토텍,,0.00%
1017,이글루시큐리티,,0.00%
1018,인터로조,,0.00%
1019,아이마켓코리아,,0.00%
1020,하이텍팜,,0.00%
1021,웨이포트(홍콩),,0.00%
1022,우진,,0.00%
1023,크루셜텍,,0.00%
1024,에스디시스템,,0.00%
1025,한화스팩1호,,0.00%
1026,신영증권스팩1호,,0.00%
1027,웅진에너지,,0.00%
1028,처음앤씨,,0.00%
1029,유비벨록스,,0.00%
1030,케이엔디티앤아이,,0.00%
1031,히든챔피언제1호스팩,,0.00%
1032,솔라시아,,0.00%
1033,이연제약,,0.00%
1034,실리콘웍스,,0.00%
1035,투비소프트,,0.00%
1036,인피니트헬스케어(구.인피니트테,,0.00%
1037,모바일리더,,0.00%
1038,만도,,0.00%
1039,신한제1호스팩,,0.00%
1040,우리스팩1호,,0.00%
1041,삼성생명,,0.00%
1042,동아체육용품유한공사,,0.00%
1043,뉴프라이드,,0.00%
1044,케이씨에스,,0.00%
1045,차이나킹하이웨이,,0.00%
1046,동양밸류오션SPAC,,0.00%
1047,디지탈아리아,,0.00%
1048,현대드림투게더,,0.00%
1049,대한생명보험,,0.00%
1050,미래에셋스팩1호,,0.00%
1051,대우증권그린코리아SPAC,,0.00%
1052,이미지스테크놀로지,,0.00%
1053,인포바인,,0.00%
1054,차이나하오란리사이클링,,0.00%
1055,하이소닉,,0.00%
1056,에스이티아이,,0.00%
1057,모베이스,,0.00%
1058,에이치디시에스,,0.00%
1059,락앤락,,0.00%
1060,지역난방공사,,0.00%
1061,우리넷,,0.00%
1062,아세아텍,,0.00%
1063,영흥철강,,0.00%
1064,스타플렉스,,0.00%
1065,우노앤컴퍼니,,0.00%
1066,승화엘엠씨,,0.00%
1067,코디에스,,0.00%
1068,아이티엑스시큐리티,,0.00%
1069,위메이드엔터테인먼트,,0.00%
1070,KPX라이프사이언스,,0.00%
1071,멜파스,,0.00%
1072,동양피엔에프,,0.00%
1073,현대푸드시스템,,0.00%
1074,한전기술,,0.00%
1075,디오텍,,0.00%
1076,중국엔진집단유한공사,,0.00%
