,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent,first_p
353,플리토,kosdaq,20190717,26000,31600,21.54%,27800
354,이베스트이안스팩1호,kosdaq,20190715,2000,3040,52%,-
355,세틀뱅크,kosdaq,20190712,55000,49500,-10%,51600
356,아이스크림에듀,kosdaq,20190711,15900,14350,-9.75%,11700
357,펌텍코리아,kosdaq,20190704,190000,171000,-10%,152300
358,에이에프더블류,kosdaq,20190701,22500,28000,24.44%,21750
359,신영스팩5호,kosdaq,20190624,2000,4000,100%,3740
360,케이비스팩18호,kosdaq,20190624,2000,2300,15%,2990
361,신한스팩5호,kosdaq,20190619,2000,3860,93%,2805
362,압타바이오,kosdaq,20190612,30000,50200,67.33%,38900
363,까스텔바쟉,kosdaq,20190610,12000,17000,41.67%,19250
364,마이크로디지탈,kosdaq,20190605,23000,41050,78.48%,39100
365,유진스팩4호,kosdaq,20190531,2000,2500,25%,3250
366,디비금융스팩7호,kosdaq,20190531,2000,2080,4%,2700
367,수젠텍,kosdaq,20190528,12000,11150,-7.08%,10150
368,컴퍼니케이파트너스,kosdaq,20190523,4500,8200,82.22%,10650
369,엔에이치스팩14호,kosdaq,20190508,2000,2115,5.75%,2030
370,에스앤케이,kosdaq,20190507,40400,36400,-9.9%,33650
371,한화에스비아이스팩,kosdaq,20190503,2000,2005,0.25%,2655
372,하이스팩4호,kosdaq,20190429,2000,2005,0.25%,2015
373,아모그린텍,kosdaq,20190329,9900,10300,4.04%,10200
374,현대오토에버(유가),kospi,20190328,48000,75500,57.29%,88700
375,지노믹트리,kosdaq,20190327,27000,29450,9.07%,27300
376,케이비스팩17호,kosdaq,20190327,2000,1995,-0.25%,2000
377,이지케어텍,kosdaq,20190322,12300,24600,100%,31950
378,유안타스팩4호,kosdaq,20190321,2000,2005,0.25%,2000
379,미래에셋벤처투자,kosdaq,20190315,4500,6150,36.67%,5310
380,드림텍(유가),kospi,20190314,13000,17350,33.46%,15400
381,에코프로비엠,kosdaq,20190305,48000,61100,27.29%,63200
382,셀리드,kosdaq,20190220,33000,43750,32.58%,51100
383,천보,kosdaq,20190211,40000,52500,31.25%,47650
384,이노테라피,kosdaq,20190201,18000,22200,23.33%,19350
385,노랑풍선,kosdaq,20190130,20000,30350,51.75%,34150
386,웹케시,kosdaq,20190125,26000,31700,21.92%,28500
387,에어부산(유가),kospi,20181227,3600,4020,11.67%,5220
388,비피도,kosdaq,20181226,18000,36000,100%,36500
389,키움스팩5호,kosdaq,20181226,2000,2000,0%,2010
390,엔에이치스팩13호,kosdaq,20181224,2000,2000,0%,2010
391,유틸렉스,kosdaq,20181224,50000,60100,20.2%,78100
392,신영스팩4호,kosdaq,20181221,2000,2005,0.25%,2005
393,미래에셋대우스팩2호,kosdaq,20181221,2000,2015,0.75%,2010
394,디케이티,kosdaq,20181221,7400,12900,74.32%,10550
395,한국스팩8호,kosdaq,20181220,2000,2005,0.25%,2005
396,삼성머스트스팩3호,kosdaq,20181220,2000,2005,0.25%,2000
397,위지윅스튜디오,kosdaq,20181220,11000,11250,2.27%,9350
398,대신밸런스스팩6호,kosdaq,20181219,2000,2005,0.25%,2000
399,에이비엘바이오,kosdaq,20181219,15000,13500,-10%,13650
400,머큐리,kosdaq,20181214,6100,9630,57.87%,7800
401,전진바이오팜,kosdaq,20181214,10000,11550,15.5%,12750
402,뉴트리,kosdaq,20181213,14500,13050,-10%,13900
403,골든브릿지이안스팩5호,kosdaq,20181212,2000,2000,0%,1995
404,이노메트리,kosdaq,20181212,26000,40000,53.85%,29550
405,대유에이피,kosdaq,20181207,3000,6000,100%,4935
406,에스케이에이씨피씨스팩4호,kosdaq,20181207,2000,2020,1%,2010
407,에코캡,kosdaq,20181205,4200,4100,-2.38%,5330
408,교보스팩8호,kosdaq,20181205,2000,2020,1%,2015
409,베스파,kosdaq,20181203,35000,33400,-4.57%,30000
410,윙입푸드,kosdaq,20181130,2000,1800,-10%,2340
411,하나머스트스팩6호,kosdaq,20181130,2000,2020,1%,2030
412,남화산업,kosdaq,20181129,3700,5610,51.62%,7290
413,엠아이텍,kosdaq,20181129,4500,4050,-10%,4770
414,티로보틱스,kosdaq,20181129,16000,14400,-10%,13050
415,티앤알바이오팹,kosdaq,20181128,18000,16200,-10%,12500
416,네오펙트,kosdaq,20181128,11000,9900,-10%,7700
417,아시아나IDT(유가),kospi,20181123,15000,14300,-4.67%,12450
418,디알젬,kosdaq,20181122,6500,8470,30.31%,6760
419,싸이토젠,kosdaq,20181122,17000,17800,4.71%,15600
420,파멥신,kosdaq,20181121,60000,58100,-3.17%,63600
421,아주IB투자,kosdaq,20181121,1500,1350,-10%,1150
422,디케이앤디,kosdaq,20181120,6000,7570,26.17%,6230
423,디자인,kosdaq,20181115,10100,20200,100%,15200
424,노바렉스,kosdaq,20181114,19000,25450,33.95%,20100
425,셀리버리,kosdaq,20181109,25000,32000,28%,28700
426,대보마그네틱,kosdaq,20181106,31000,60200,94.19%,58500
427,노바텍,kosdaq,20181102,10000,14100,41%,18300
428,엘앤씨바이오,kosdaq,20181101,24000,29800,24.17%,26950
429,디비금융스팩6호,kosdaq,20181031,2000,2010,0.5%,2010
430,옵티팜,kosdaq,20181026,10000,9000,-10%,11700
431,로보티즈,kosdaq,20181026,14000,28000,100%,19600
432,에스퓨얼셀,kosdaq,20181015,16500,33000,100%,33800
433,나우아이비캐피탈,kosdaq,20181004,8500,9300,9.41%,7180
434,푸드나무,kosdaq,20181004,24000,43350,80.63%,34000
435,하나제약(유가),kospi,20181002,26000,30100,15.77%,33150
436,크리스에프앤씨,kosdaq,20181001,30000,27000,-10%,24000
437,IBKS스팩10호,kosdaq,20180921,2000,2110,5.5%,2110
438,지티지웰니스,kosdaq,20180921,11000,15250,38.64%,-
439,우진아이엔에스(유가),kospi,20180914,15000,15150,1%,19650
440,삼성스팩2호,kosdaq,20180913,2000,2030,1.5%,2040
441,명성티엔에스,kosdaq,20180913,20000,22000,10%,28600
442,디지캡,kosdaq,20180907,12000,13250,10.42%,10900
443,대신밸런스스팩5호,kosdaq,20180830,2000,2050,2.5%,2075
444,액트로,kosdaq,20180828,20000,20700,3.5%,18000
445,오파스넷,kosdaq,20180824,11000,18000,63.64%,14200
446,에이피티씨,kosdaq,20180823,9000,9310,3.44%,7980
447,바이오솔루션,kosdaq,20180820,29000,28200,-2.76%,28500
448,대유,kosdaq,20180810,9000,13250,47.22%,12400
449,신한알파리츠(유가),kospi,20180808,5000,5330,6.6%,5200
450,디아이티,kosdaq,20180807,10000,10550,5.5%,10650
451,에스에스알,kosdaq,20180806,9000,18000,100%,23400
452,휴네시온,kosdaq,20180802,10000,15000,50%,16350
453,티웨이항공(유가),kospi,20180801,12000,11600,-3.33%,11550
454,롯데정보통신(유가),kospi,20180727,29800,30550,2.52%,29000
455,한국유니온제약,kosdaq,20180726,18000,23000,27.78%,19500
456,엠코르셋,kosdaq,20180723,11500,11050,-3.91%,12950
457,IBKS스팩9호,kosdaq,20180720,2000,2250,12.5%,2230
458,올릭스,kosdaq,20180718,36000,72000,100%,65600
459,아이큐어,kosdaq,20180712,65000,58500,-10%,60600
460,에스브이인베스트먼트,kosdaq,20180706,7000,9000,28.57%,7710
461,이리츠코크렙기업(유가),kospi,20180627,5000,5010,0.2%,4600
462,이원다이애그노믹스,kosdaq,20180626,6500,9000,38.46%,10800
463,하나금융스팩11호,kosdaq,20180608,2000,2000,0%,2000
464,파워넷,kosdaq,20180607,6500,10100,55.38%,7750
465,현대사료,kosdaq,20180601,6600,13200,100%,17150
466,세종메디칼,kosdaq,20180529,15000,23100,54%,30000
467,제노레이,kosdaq,20180528,23000,45900,99.57%,37350
468,한국스팩7호,kosdaq,20180511,2000,2000,0%,1985
469,유안타스팩3호,kosdaq,20180508,2000,1980,-1%,1980
470,제이티씨(JTC),kosdaq,20180406,8500,14050,65.29%,16300
471,대신밸런스스팩3호,kosdaq,20180404,2000,2005,0.25%,1990
472,케어랩스,kosdaq,20180328,20000,40000,100%,52000
473,애경산업(유가),kospi,20180322,29100,28000,-3.78%,34000
474,에코마이스터,kosdaq,20180315,5200,7000,34.62%,6030
475,린드먼아시아인베스트먼트,kosdaq,20180314,6500,13000,100%,16900
476,오스테오닉,kosdaq,20180222,7700,15400,100%,13100
477,엔지켐생명과학,kosdaq,20180221,56000,87000,55.36%,85200
478,동구바이오제약,kosdaq,20180213,16000,32000,100%,41600
479,알리코제약,kosdaq,20180212,12000,18100,50.83%,23500
480,아시아종묘,kosdaq,20180212,4500,4520,0.44%,4570
481,카페24,kosdaq,20180208,57000,84500,48.25%,84700
482,링크제니시스,kosdaq,20180205,30000,53000,76.67%,40500
483,배럴,kosdaq,20180201,9500,10400,9.47%,13500
484,에스지이,kosdaq,20180126,6000,5400,-10%,5260
485,씨앤지하이테크,kosdaq,20180125,16000,18600,16.25%,18650
486,시스웍,kosdaq,20171226,2800,3810,36.07%,3390
487,한국스팩6호,kosdaq,20171221,2000,1965,-1.75%,1975
488,디바이스이엔지,kosdaq,20171220,12000,10800,-10%,12100
489,동부스팩5호,kosdaq,20171212,2000,2010,0.5%,1955
490,동양피스톤(유가),kospi,20171208,5700,5130,-10%,4845
491,진에어(유가),kospi,20171208,31800,31800,0%,28850
492,씨티케이코스메틱스,kosdaq,20171207,55000,49500,-10%,42300
493,메카로,kosdaq,20171206,33000,43000,30.3%,38500
494,에스트래픽,kosdaq,20171205,10000,20000,100%,15000
495,체리부로,kosdaq,20171204,4700,5020,6.81%,3980
496,대원,kosdaq,20171201,15000,16000,6.67%,13300
497,비즈니스온커뮤니케이션,kosdaq,20171130,9000,16900,87.78%,14000
498,삼양패키징(유가),kospi,20171129,26000,25750,-0.96%,23800
499,한화에이스스팩4호,kosdaq,20171127,2000,2010,0.5%,1990
500,스튜디오드래곤,kosdaq,20171124,35000,55300,58%,71800
501,IBKS스팩7호,kosdaq,20171110,2000,2030,1.5%,2020
502,비디아이,kosdaq,20171109,10000,17600,76%,16950
503,티슈진,kosdaq,20171106,27000,52000,92.59%,42700
504,테이팩스(유가),kospi,20171031,23000,26600,15.65%,27000
505,영화테크,kosdaq,20171026,12500,25000,100%,32500
506,세원,kosdaq,20171020,5700,8600,50.88%,11150
507,신한스팩4호,kosdaq,20171020,2000,2000,0%,1995
508,상신전자,kosdaq,20171016,13300,13300,0%,22000
509,야스,kosdaq,20170929,23500,21150,-10%,19100
510,IBKS스팩8호,kosdaq,20170929,2000,2080,4%,2080
511,에스엔피월드,kosdaq,20170928,5100,5100,0%,5270
512,유티아이,kosdaq,20170927,25000,22500,-10%,-
513,신흥에스이씨,kosdaq,20170927,16000,29400,83.75%,-
514,선익시스템,kosdaq,20170920,37000,33300,-10%,29750
515,엠플러스,kosdaq,20170920,18000,28350,57.5%,23400
516,앱클론,kosdaq,20170918,10000,20000,100%,26000
517,샘코,kosdaq,20170915,11000,12000,9.09%,10250
518,펄어비스,kosdaq,20170914,103000,92700,-10%,98900
519,케이피에스,kosdaq,20170906,14000,13500,-3.57%,14000
520,덕우전자,kosdaq,20170828,15500,16900,9.03%,15850
521,이더블유케이,kosdaq,20170822,5000,10000,100%,11950
522,하나금융스팩10호,kosdaq,20170822,2000,2020,1%,2005
523,알에스오토메이션,kosdaq,20170811,6000,11950,99.17%,15500
524,컬러레이,kosdaq,20170810,3800,3660,-3.68%,4050
525,엔에이치스팩12호,kosdaq,20170807,2000,2040,2%,2000
526,모트렉스,kosdaq,20170804,38300,38000,-0.78%,33400
527,데이타솔루션,kosdaq,20170803,3300,6600,100%,5680
528,지니언스,kosdaq,20170802,13500,20050,48.52%,15200
529,디앤씨미디어,kosdaq,20170801,20000,32300,61.5%,27300
530,셀트리온헬스케어,kosdaq,20170728,41000,43650,6.46%,50300
531,이즈미디어,kosdaq,20170726,7500,8400,12%,9360
532,한국스팩5호,kosdaq,20170724,2000,2020,1%,2000
533,힘스,kosdaq,20170720,20000,32500,62.5%,33000
534,브이원텍,kosdaq,20170713,17700,20100,13.56%,18900
535,아우딘퓨쳐스,kosdaq,20170712,26000,23400,-10%,23300
536,제일홀딩스,kosdaq,20170630,20700,18650,-9.9%,19050
537,하나금융스팩9호,kosdaq,20170626,2000,1955,-2.25%,1960
538,교보스팩7호,kosdaq,20170622,2000,2020,1%,2005
539,한화수성스팩,kosdaq,20170608,2000,2020,1%,1970
540,보라티알,kosdaq,20170608,14300,18900,32.17%,17600
541,삼양옵틱스,kosdaq,20170602,16700,16700,0%,16800
542,IBKS스팩6호,kosdaq,20170601,2000,1980,-1%,1990
543,필옵틱스,kosdaq,20170601,48000,48200,0.42%,56000
544,미래에셋대우스팩1호,kosdaq,20170526,2000,2000,0%,1980
545,넷마블게임즈(유가),kospi,20170512,157000,165000,5.1%,162000
546,ING생명보험(유가),kospi,20170511,33000,31200,-5.45%,31600
547,한화에이스스팩3호,kosdaq,20170502,2000,2000,0%,2010
548,엔에이치스팩10호,kosdaq,20170502,2000,1995,-0.25%,1980
549,하나머티리얼즈,kosdaq,20170428,12000,17500,45.83%,15950
550,와이엠티,kosdaq,20170427,21000,35100,67.14%,31050
551,케이비스팩11호,kosdaq,20170427,2000,2000,0%,1980
552,신영스팩3호,kosdaq,20170406,2000,2000,0%,2040
553,이엘피,kosdaq,20170406,20000,22000,10%,22400
554,서진시스템,kosdaq,20170327,25000,40000,60%,37350
555,코미코,kosdaq,20170323,13000,29050,123.46%,21500
556,아스타,kosdaq,20170320,8000,9700,21.25%,12600
557,덴티움(유가),kospi,20170315,32000,38200,19.38%,34500
558,대신밸런스스팩4호,kosdaq,20170303,2000,2000,0%,1990
559,에스디생명공학,kosdaq,20170302,12000,15200,26.67%,12200
560,신신제약,kosdaq,20170228,4500,6170,37.11%,8020
561,에프엔에스테크,kosdaq,20170227,14000,17050,21.79%,17450
562,모바일어플라이언스,kosdaq,20170224,3500,5900,68.57%,5980
563,신한스팩3호,kosdaq,20170223,2000,2010,0.5%,1980
564,피씨엘,kosdaq,20170223,8000,7800,-2.5%,9160
565,호전실업(유가),kospi,20170202,25000,24500,-2%,24250
566,서플러스글로벌,kosdaq,20170125,8000,8500,6.25%,7140
567,유바이오로직스,kosdaq,20170124,6000,5600,-6.67%,5070
568,엔에이치스팩11호,kosdaq,20161228,2000,1990,-0.5%,1970
569,퓨전데이타,kosdaq,20161221,11500,20750,80.43%,19800
570,디에스씨인베스트먼트,kosdaq,20161219,1700,3400,100%,3560
571,티에스인베스트먼트,kosdaq,20161215,1300,1470,13.08%,1910
572,마이크로프랜드,kosdaq,20161212,7300,6570,-10%,5950
573,코썬바이오,kosdaq,20161209,7000,6300,-10%,5090
574,애니젠,kosdaq,20161207,18000,17800,-1.11%,12600
575,유니온커뮤니티,kosdaq,20161207,5000,4465,-10.7%,3340
576,신라젠,kosdaq,20161206,15000,13500,-10%,12850
577,핸즈코퍼레이션(유가),kospi,20161202,12000,10800,-10%,9100
578,IBKS스팩5호,kosdaq,20161202,2000,2000,0%,1990
579,퓨쳐켐,kosdaq,20161201,15000,15750,5%,11050
580,오션브릿지,kosdaq,20161201,6600,7730,17.12%,6700
581,엘앤케이바이오,kosdaq,20161130,15000,15750,5%,11900
582,뉴파워프라즈마,kosdaq,20161130,17500,17500,0%,16800
583,에이치엔티일렉트로닉스,kosdaq,20161128,10000,12100,21%,10550
584,핸디소프트,kosdaq,20161124,5600,8180,46.07%,7220
585,두산밥캣(유가),kospi,20161118,30000,36000,20%,35900
586,에스케이스팩3호,kosdaq,20161116,2000,2050,2.5%,2010
587,삼성바이오로직스(유가),kospi,20161110,136000,135000,-0.74%,144000
588,클리오,kosdaq,20161109,41000,39950,-2.56%,36800
589,오가닉티코스메틱,kosdaq,20161104,4000,6510,62.75%,5730
590,로고스바이오시스템스,kosdaq,20161103,25500,25500,0%,21350
591,아이비케이에스지엠비스팩,kosdaq,20161102,2000,2050,2.5%,2000
592,인크로스,kosdaq,20161031,43000,67700,57.44%,47400
593,코스메카코리아,kosdaq,20161028,54000,71400,32.22%,62500
594,에이치엘사이언스(구.건강사랑),kosdaq,20161028,27000,38400,42.22%,38200
595,제이더블유생명과학(유가),kospi,20161027,30000,33050,10.17%,42950
596,그레이트리치과기,kosdaq,20161025,5000,5000,0%,6500
597,금세기차륜(골든센츄리),kosdaq,20161019,3500,4005,14.43%,3815
598,인텔리안테크놀로지스,kosdaq,20161018,19000,18750,-1.32%,17050
599,에이치시티,kosdaq,20161017,17000,19500,14.71%,17550
600,잉글우드랩,kosdaq,20161014,6000,8360,39.33%,7300
601,앤디포스,kosdaq,20161012,14500,17500,20.69%,18800
602,수산아이앤티(구.플러스기술),kosdaq,20161011,11500,11500,0%,14950
603,미투온,kosdaq,20161010,3800,3420,-10%,4445
604,화승엔터프라이즈(유가),kospi,20161004,15000,13500,-10%,14950
605,케이비스팩10호,kosdaq,20160929,2000,2000,0%,2005
606,엘에스전선아시아(유가),kospi,20160922,8000,7200,-10%,6350
607,모두투어리츠(유가),kospi,20160922,6000,5700,-5%,5230
608,유니테크노,kosdaq,20160920,10300,12750,23.79%,11400
609,교보비엔케이스팩,kosdaq,20160908,2000,2100,5%,1990
610,하나금융스팩8호,kosdaq,20160908,2000,2010,0.5%,1995
611,자이글,kosdaq,20160906,11000,13600,23.64%,12900
612,헝셩그룹,kosdaq,20160818,3600,3240,-10%,2690
613,에코마케팅,kosdaq,20160808,35000,68000,94.29%,47600
614,팍스넷,kosdaq,20160801,5200,10400,100%,12550
615,두올(유가),kospi,20160729,8500,8190,-3.65%,7060
616,엔지스테크널러지,kosdaq,20160728,10000,19000,90%,24700
617,우리손에프앤지,kosdaq,20160727,2210,4000,81%,2910
618,옵토팩,kosdaq,20160720,5900,6210,5.25%,8070
619,장원테크,kosdaq,20160715,17500,22250,27.14%,17150
620,대유위니아(구.위니아만도),kosdaq,20160714,6800,7900,16.18%,7670
621,한국자산신탁(유가),kospi,20160713,10300,9900,-3.88%,9600
622,바이오리더스,kosdaq,20160707,15000,17100,14%,14200
623,피앤씨테크,kosdaq,20160704,10200,11000,7.84%,10350
624,로스웰,kosdaq,20160630,3200,3915,22.34%,3415
625,해성디에스(유가),kospi,20160624,12000,16700,39.17%,14600
626,녹십자랩셀,kosdaq,20160623,18500,37000,100%,48100
627,에스티팜,kosdaq,20160623,29000,47000,62.07%,48800
628,한국스팩4호,kosdaq,20160622,2000,1950,-2.5%,1930
629,알엔투테크놀로지,kosdaq,20160622,5800,12500,115.52%,8750
630,미래에셋스팩5호,kosdaq,20160609,2000,1995,-0.25%,1935
631,용평리조트(유가),kospi,20160527,7000,9000,28.57%,11700
632,해태제과식품(유가),kospi,20160511,15100,18960,25.56%,24600
633,레이언스,kosdaq,20160411,25000,23700,-5.2%,23050
634,씨엠에스에듀,kosdaq,20160407,23200,26800,15.52%,24950
635,동양파일,kosdaq,20160406,10000,9000,-10%,9100
636,대림씨엔에스(유가),kospi,20160330,27700,24950,-9.93%,23250
637,팬젠,kosdaq,20160311,16500,24900,50.91%,22300
638,하이에이아이스팩1호,kosdaq,20160308,2000,1970,-1.5%,1945
639,에이피위성통신,kosdaq,20160304,9700,12400,27.84%,10750
640,IBKS스팩4호,kosdaq,20160302,2000,2030,1.5%,1975
641,케이비스팩9호,kosdaq,20160229,2000,1975,-1.25%,1975
642,큐리언트,kosdaq,20160229,21000,33900,61.43%,39000
643,안트로젠,kosdaq,20160215,24000,38000,58.33%,39100
644,제이에스코퍼레이션(유가),kospi,20160204,23000,39100,70%,37750
645,아이엠텍,kosdaq,20160203,7500,8500,13.33%,12350
646,유니트론텍,kosdaq,20160202,14000,25300,80.71%,24850
647,차이나크리스탈신소재,kosdaq,20160128,3000,4000,33.33%,3870
648,한솔씨앤피,kosdaq,20160127,13000,18950,45.77%,19600
649,에스와이패널,kosdaq,20151229,5000,4700,-6%,6110
650,코리아오토글라스(유가),kospi,20151229,11000,11600,5.45%,13600
651,코디엠,kosdaq,20151229,4700,7490,59.36%,6100
652,잇츠스킨(유가),kospi,20151228,170000,172000,1.18%,152000
653,육일씨엔에쓰,kosdaq,20151224,6000,6560,9.33%,5160
654,휴젤,kosdaq,20151224,150000,199500,33%,168300
655,대신밸런스스팩2호,kosdaq,20151224,2000,2000,0%,2000
656,이에스브이,kosdaq,20151224,10000,18500,85%,13600
657,한국맥널티,kosdaq,20151223,8000,16000,100%,13250
658,아진산업,kosdaq,20151222,6500,7620,17.23%,6320
659,덱스터,kosdaq,20151222,14000,24800,77.14%,28800
660,씨트리,kosdaq,20151221,6500,9250,42.31%,12000
661,강스템바이오텍,kosdaq,20151221,6000,7200,20%,9360
662,메가엠디,kosdaq,20151218,3000,5020,67.33%,3800
663,동부스팩4호,kosdaq,20151218,2000,2000,0%,2005
664,파크시스템스,kosdaq,20151217,9000,11000,22.22%,8660
665,보광산업,kosdaq,20151217,4000,6110,52.75%,6310
666,하나금융스팩7호,kosdaq,20151216,2000,2010,0.5%,2005
667,뉴트리바이오텍,kosdaq,20151216,21000,23000,9.52%,29000
668,예스티,kosdaq,20151216,14500,15500,6.9%,18000
669,멕아이씨에스,kosdaq,20151214,4500,8000,77.78%,6600
670,엔에스,kosdaq,20151207,8000,12950,61.88%,14750
671,미래테크놀로지,kosdaq,20151201,16100,14950,-7.14%,13700
672,세진중공업(유가),kospi,20151130,3500,3495,-0.14%,3135
673,하이즈항공,kosdaq,20151125,18000,16200,-10%,16800
674,엠지메드,kosdaq,20151120,40000,41000,2.5%,36300
675,리드,kosdaq,20151120,5100,4590,-10%,3945
676,케이디켐,kosdaq,20151119,16000,14850,-7.19%,12500
677,매직마이크로,kosdaq,20151119,5500,5420,-1.45%,4850
678,네오오토,kosdaq,20151118,12000,11800,-1.67%,10000
679,골든브릿지스팩4호,kosdaq,20151118,2000,1990,-0.5%,2000
680,케어젠,kosdaq,20151117,110000,101500,-7.73%,107000
681,아이진,kosdaq,20151116,13500,12900,-4.44%,13100
682,나무가,kosdaq,20151112,37000,33400,-9.73%,33000
683,유앤아이,kosdaq,20151112,30000,28650,-4.5%,24350
684,금호에이치티(유가),kospi,20151111,10000,9500,-5%,8860
685,제주항공(유가),kospi,20151106,30000,49500,65%,48100
686,에이치엠씨스팩3호,kosdaq,20151105,2000,2020,1%,2025
687,더블유게임즈,kosdaq,20151104,65000,65100,0.15%,62500
688,연우,kosdaq,20151102,25200,28150,11.71%,36550
689,키움스팩4호,kosdaq,20151030,2000,2060,3%,2055
690,에이티젠,kosdaq,20151023,17000,34000,100%,25800
691,현대드림스팩4호,kosdaq,20151022,2000,2090,4.5%,2075
692,엑시콘,kosdaq,20151022,10000,10400,4%,8650
693,이베스트스팩3호,kosdaq,20151019,2000,2090,4.5%,2085
694,에치디프로,kosdaq,20151013,8900,9580,7.64%,8650
695,IBKS스팩3호,kosdaq,20151008,2000,2100,5%,2100
696,동부스팩3호,kosdaq,20151006,2000,2105,5.25%,2100
697,신영해피투모로우2호스팩,kosdaq,20151005,2000,2090,4.5%,2100
698,엘아이지넥스원(유가),kospi,20151002,76000,68400,-10%,72800
699,엔에이치스팩9호,kosdaq,20150925,2000,2070,3.5%,2090
700,제너셈,kosdaq,20150925,10500,11000,4.76%,10500
701,타이거일렉,kosdaq,20150925,6000,5720,-4.67%,7430
702,아이콘트롤스(유가),kospi,20150924,32000,31650,-1.09%,-
703,동일제강(유가),kospi,20150924,3000,3870,29%,-
704,인포마크,kosdaq,20150923,14000,25000,78.57%,20100
705,유진스팩3호,kosdaq,20150909,2000,2105,5.25%,2100
706,한국스팩3호,kosdaq,20150902,2000,2125,6.25%,2160
