range,name,type,day,gongmo_p,sicho_p,count,quarter,year,총점,카운트,Quater_per
520,에치디프로,kosdaq,2015-10-13,8900,9580,1,4,2015,0,2,0.333
521,엑시콘,kosdaq,2015-10-22,10000,10400,1,4,2015,1,3,0.333
522,에이티젠,kosdaq,2015-10-23,17000,34000,1,4,2015,2,4,0.333
523,연우,kosdaq,2015-11-02,25200,28150,1,4,2015,3,5,0.333
524,더블유게임즈,kosdaq,2015-11-04,65000,65100,1,4,2015,4,6,0.333
525,제주항공(유가),kospi,2015-11-06,30000,49500,1,4,2015,5,7,0.333
526,금호에이치티(유가),kospi,2015-11-11,10000,9500,-1,4,2015,4,8,0.333
527,유앤아이,kosdaq,2015-11-12,30000,28650,-1,4,2015,3,9,0.333
528,나무가,kosdaq,2015-11-12,37000,33400,-1,4,2015,2,10,0.333
529,아이진,kosdaq,2015-11-16,13500,12900,-1,4,2015,1,11,0.333
530,케어젠,kosdaq,2015-11-17,110000,101500,-1,4,2015,0,12,0.333
531,네오오토,kosdaq,2015-11-18,12000,11800,-1,4,2015,-1,13,0.333
532,매직마이크로,kosdaq,2015-11-19,5500,5420,-1,4,2015,-2,14,0.333
533,케이디켐,kosdaq,2015-11-19,16000,14850,-1,4,2015,-3,15,0.333
534,리드,kosdaq,2015-11-20,5100,4590,-1,4,2015,-4,16,0.333
535,엠지메드,kosdaq,2015-11-20,40000,41000,1,4,2015,-3,17,0.333
536,하이즈항공,kosdaq,2015-11-25,18000,16200,-1,4,2015,-4,18,0.333
537,세진중공업(유가),kospi,2015-11-30,3500,3495,-1,4,2015,-5,19,0.333
538,미래테크놀로지,kosdaq,2015-12-01,16100,14950,-1,4,2015,-6,20,0.333
539,엔에스,kosdaq,2015-12-07,8000,12950,1,4,2015,-5,21,0.333
540,멕아이씨에스,kosdaq,2015-12-14,4500,8000,1,4,2015,-4,22,0.333
541,예스티,kosdaq,2015-12-16,14500,15500,1,4,2015,-3,23,0.333
542,뉴트리바이오텍,kosdaq,2015-12-16,21000,23000,1,4,2015,-2,24,0.333
543,보광산업,kosdaq,2015-12-17,4000,6110,1,4,2015,-1,25,0.333
544,파크시스템스,kosdaq,2015-12-17,9000,11000,1,4,2015,0,26,0.333
545,메가엠디,kosdaq,2015-12-18,3000,5020,1,4,2015,1,27,0.333
546,강스템바이오텍,kosdaq,2015-12-21,6000,7200,1,4,2015,2,28,0.333
547,씨트리,kosdaq,2015-12-21,6500,9250,1,4,2015,3,29,0.333
548,덱스터,kosdaq,2015-12-22,14000,24800,1,4,2015,4,30,0.333
549,아진산업,kosdaq,2015-12-22,6500,7620,1,4,2015,5,31,0.333
550,한국맥널티,kosdaq,2015-12-23,8000,16000,1,4,2015,6,32,0.333
551,이에스브이,kosdaq,2015-12-24,10000,18500,1,4,2015,7,33,0.333
552,휴젤,kosdaq,2015-12-24,150000,199500,1,4,2015,8,34,0.333
553,육일씨엔에쓰,kosdaq,2015-12-24,6000,6560,1,4,2015,9,35,0.333
554,잇츠스킨(유가),kospi,2015-12-28,170000,172000,1,4,2015,10,36,0.333
555,코디엠,kosdaq,2015-12-29,4700,7490,1,4,2015,11,37,0.333
556,코리아오토글라스(유가),kospi,2015-12-29,11000,11600,1,4,2015,12,38,0.333
557,에스와이패널,kosdaq,2015-12-29,5000,4700,-1,4,2015,11,39,0.333
558,한솔씨앤피,kosdaq,2016-01-27,13000,18950,1,1,2016,1,1,0.282
559,차이나크리스탈신소재,kosdaq,2016-01-28,3000,4000,1,1,2016,2,2,0.282
560,유니트론텍,kosdaq,2016-02-02,14000,25300,1,1,2016,3,3,0.282
561,아이엠텍,kosdaq,2016-02-03,7500,8500,1,1,2016,4,4,0.282
562,제이에스코퍼레이션(유가),kospi,2016-02-04,23000,39100,1,1,2016,5,5,0.282
563,안트로젠,kosdaq,2016-02-15,24000,38000,1,1,2016,6,6,0.282
564,큐리언트,kosdaq,2016-02-29,21000,33900,1,1,2016,7,7,0.282
565,에이피위성통신,kosdaq,2016-03-04,9700,12400,1,1,2016,8,8,0.282
566,팬젠,kosdaq,2016-03-11,16500,24900,1,1,2016,9,9,0.282
567,대림씨엔에스(유가),kospi,2016-03-30,27700,24950,-1,1,2016,8,10,0.282
568,동양파일,kosdaq,2016-04-06,10000,9000,-1,2,2016,-1,1,0.8
569,씨엠에스에듀,kosdaq,2016-04-07,23200,26800,1,2,2016,0,2,0.8
570,레이언스,kosdaq,2016-04-11,25000,23700,-1,2,2016,-1,3,0.8
571,해태제과식품(유가),kospi,2016-05-11,15100,18960,1,2,2016,0,4,0.8
572,용평리조트(유가),kospi,2016-05-27,7000,9000,1,2,2016,1,5,0.8
573,알엔투테크놀로지,kosdaq,2016-06-22,5800,12500,1,2,2016,2,6,0.8
574,에스티팜,kosdaq,2016-06-23,29000,47000,1,2,2016,3,7,0.8
575,녹십자랩셀,kosdaq,2016-06-23,18500,37000,1,2,2016,4,8,0.8
576,해성디에스(유가),kospi,2016-06-24,12000,16700,1,2,2016,5,9,0.8
577,로스웰,kosdaq,2016-06-30,3200,3915,1,2,2016,6,10,0.8
578,피앤씨테크,kosdaq,2016-07-04,10200,11000,1,3,2016,1,1,0.6
579,바이오리더스,kosdaq,2016-07-07,15000,17100,1,3,2016,2,2,0.6
580,한국자산신탁(유가),kospi,2016-07-13,10300,9900,-1,3,2016,1,3,0.6
581,대유위니아(구.위니아만도),kosdaq,2016-07-14,6800,7900,1,3,2016,2,4,0.6
582,장원테크,kosdaq,2016-07-15,17500,22250,1,3,2016,3,5,0.6
583,옵토팩,kosdaq,2016-07-20,5900,6210,1,3,2016,4,6,0.6
584,우리손에프앤지,kosdaq,2016-07-27,2210,4000,1,3,2016,5,7,0.6
585,엔지스테크널러지,kosdaq,2016-07-28,10000,19000,1,3,2016,6,8,0.6
586,두올(유가),kospi,2016-07-29,8500,8190,-1,3,2016,5,9,0.6
587,팍스넷,kosdaq,2016-08-01,5200,10400,1,3,2016,6,10,0.6
588,에코마케팅,kosdaq,2016-08-08,35000,68000,1,3,2016,7,11,0.6
589,헝셩그룹,kosdaq,2016-08-18,3600,3240,-1,3,2016,6,12,0.6
590,자이글,kosdaq,2016-09-06,11000,13600,1,3,2016,7,13,0.6
591,유니테크노,kosdaq,2016-09-20,10300,12750,1,3,2016,8,14,0.6
592,엘에스전선아시아(유가),kospi,2016-09-22,8000,7200,-1,3,2016,7,15,0.6
593,화승엔터프라이즈(유가),kospi,2016-10-04,15000,13500,-1,4,2016,-1,1,0.467
594,미투온,kosdaq,2016-10-10,3800,3420,-1,4,2016,-2,2,0.467
595,수산아이앤티(구.플러스기술),kosdaq,2016-10-11,11500,11500,-1,4,2016,-3,3,0.467
596,앤디포스,kosdaq,2016-10-12,14500,17500,1,4,2016,-2,4,0.467
597,잉글우드랩,kosdaq,2016-10-14,6000,8360,1,4,2016,-1,5,0.467
598,에이치시티,kosdaq,2016-10-17,17000,19500,1,4,2016,0,6,0.467
599,인텔리안테크놀로지스,kosdaq,2016-10-18,19000,18750,-1,4,2016,-1,7,0.467
600,금세기차륜(골든센츄리),kosdaq,2016-10-19,3500,4005,1,4,2016,0,8,0.467
601,그레이트리치과기,kosdaq,2016-10-25,5000,5000,-1,4,2016,-1,9,0.467
602,제이더블유생명과학(유가),kospi,2016-10-27,30000,33050,1,4,2016,0,10,0.467
603,에이치엘사이언스(구.건강사랑),kosdaq,2016-10-28,27000,38400,1,4,2016,1,11,0.467
604,코스메카코리아,kosdaq,2016-10-28,54000,71400,1,4,2016,2,12,0.467
605,인크로스,kosdaq,2016-10-31,43000,67700,1,4,2016,3,13,0.467
606,로고스바이오시스템스,kosdaq,2016-11-03,25500,25500,-1,4,2016,2,14,0.467
607,오가닉티코스메틱,kosdaq,2016-11-04,4000,6510,1,4,2016,3,15,0.467
608,클리오,kosdaq,2016-11-09,41000,39950,-1,4,2016,2,16,0.467
609,삼성바이오로직스(유가),kospi,2016-11-10,136000,135000,-1,4,2016,1,17,0.467
610,두산밥캣(유가),kospi,2016-11-18,30000,36000,1,4,2016,2,18,0.467
611,핸디소프트,kosdaq,2016-11-24,5600,8180,1,4,2016,3,19,0.467
612,에이치엔티일렉트로닉스,kosdaq,2016-11-28,10000,12100,1,4,2016,4,20,0.467
613,뉴파워프라즈마,kosdaq,2016-11-30,17500,17500,-1,4,2016,3,21,0.467
614,엘앤케이바이오,kosdaq,2016-11-30,15000,15750,1,4,2016,4,22,0.467
615,오션브릿지,kosdaq,2016-12-01,6600,7730,1,4,2016,5,23,0.467
616,퓨쳐켐,kosdaq,2016-12-01,15000,15750,1,4,2016,6,24,0.467
617,핸즈코퍼레이션(유가),kospi,2016-12-02,12000,10800,-1,4,2016,5,25,0.467
618,신라젠,kosdaq,2016-12-06,15000,13500,-1,4,2016,4,26,0.467
619,유니온커뮤니티,kosdaq,2016-12-07,5000,4465,-1,4,2016,3,27,0.467
620,애니젠,kosdaq,2016-12-07,18000,17800,-1,4,2016,2,28,0.467
621,코썬바이오,kosdaq,2016-12-09,7000,6300,-1,4,2016,1,29,0.467
622,마이크로프랜드,kosdaq,2016-12-12,7300,6570,-1,4,2016,0,30,0.467
623,티에스인베스트먼트,kosdaq,2016-12-15,1300,1470,1,4,2016,1,31,0.467
624,디에스씨인베스트먼트,kosdaq,2016-12-19,1700,3400,1,4,2016,2,32,0.467
625,퓨전데이타,kosdaq,2016-12-21,11500,20750,1,4,2016,3,33,0.467
626,유바이오로직스,kosdaq,2017-01-24,6000,5600,-1,1,2017,-1,1,0.091
627,서플러스글로벌,kosdaq,2017-01-25,8000,8500,1,1,2017,0,2,0.091
628,호전실업(유가),kospi,2017-02-02,25000,24500,-1,1,2017,-1,3,0.091
629,피씨엘,kosdaq,2017-02-23,8000,7800,-1,1,2017,-2,4,0.091
630,모바일어플라이언스,kosdaq,2017-02-24,3500,5900,1,1,2017,-1,5,0.091
631,에프엔에스테크,kosdaq,2017-02-27,14000,17050,1,1,2017,0,6,0.091
632,신신제약,kosdaq,2017-02-28,4500,6170,1,1,2017,1,7,0.091
633,에스디생명공학,kosdaq,2017-03-02,12000,15200,1,1,2017,2,8,0.091
634,덴티움(유가),kospi,2017-03-15,32000,38200,1,1,2017,3,9,0.091
635,아스타,kosdaq,2017-03-20,8000,9700,1,1,2017,4,10,0.091
636,코미코,kosdaq,2017-03-23,13000,29050,1,1,2017,5,11,0.091
637,서진시스템,kosdaq,2017-03-27,25000,40000,1,1,2017,6,12,0.091
638,이엘피,kosdaq,2017-04-06,20000,22000,1,2,2017,1,1,0.5
639,와이엠티,kosdaq,2017-04-27,21000,35100,1,2,2017,2,2,0.5
640,하나머티리얼즈,kosdaq,2017-04-28,12000,17500,1,2,2017,3,3,0.5
641,ING생명보험(유가),kospi,2017-05-11,33000,31200,-1,2,2017,2,4,0.5
642,넷마블게임즈(유가),kospi,2017-05-12,157000,165000,1,2,2017,3,5,0.5
643,필옵틱스,kosdaq,2017-06-01,48000,48200,1,2,2017,4,6,0.5
644,삼양옵틱스,kosdaq,2017-06-02,16700,16700,-1,2,2017,3,7,0.5
645,보라티알,kosdaq,2017-06-08,14300,18900,1,2,2017,4,8,0.5
646,제일홀딩스,kosdaq,2017-06-30,20700,18650,-1,2,2017,3,9,0.5
647,아우딘퓨쳐스,kosdaq,2017-07-12,26000,23400,-1,3,2017,-1,1,0.333
648,브이원텍,kosdaq,2017-07-13,17700,20100,1,3,2017,0,2,0.333
649,힘스,kosdaq,2017-07-20,20000,32500,1,3,2017,1,3,0.333
650,이즈미디어,kosdaq,2017-07-26,7500,8400,1,3,2017,2,4,0.333
651,셀트리온헬스케어,kosdaq,2017-07-28,41000,43650,1,3,2017,3,5,0.333
652,디앤씨미디어,kosdaq,2017-08-01,20000,32300,1,3,2017,4,6,0.333
653,지니언스,kosdaq,2017-08-02,13500,20050,1,3,2017,5,7,0.333
654,데이타솔루션,kosdaq,2017-08-03,3300,6600,1,3,2017,6,8,0.333
655,모트렉스,kosdaq,2017-08-04,38300,38000,-1,3,2017,5,9,0.333
656,컬러레이,kosdaq,2017-08-10,3800,3660,-1,3,2017,4,10,0.333
657,알에스오토메이션,kosdaq,2017-08-11,6000,11950,1,3,2017,5,11,0.333
658,이더블유케이,kosdaq,2017-08-22,5000,10000,1,3,2017,6,12,0.333
659,덕우전자,kosdaq,2017-08-28,15500,16900,1,3,2017,7,13,0.333
660,케이피에스,kosdaq,2017-09-06,14000,13500,-1,3,2017,6,14,0.333
661,펄어비스,kosdaq,2017-09-14,103000,92700,-1,3,2017,5,15,0.333
662,샘코,kosdaq,2017-09-15,11000,12000,1,3,2017,6,16,0.333
663,앱클론,kosdaq,2017-09-18,10000,20000,1,3,2017,7,17,0.333
664,엠플러스,kosdaq,2017-09-20,18000,28350,1,3,2017,8,18,0.333
665,선익시스템,kosdaq,2017-09-20,37000,33300,-1,3,2017,7,19,0.333
666,신흥에스이씨,kosdaq,2017-09-27,16000,29400,1,3,2017,8,20,0.333
667,유티아이,kosdaq,2017-09-27,25000,22500,-1,3,2017,7,21,0.333
668,에스엔피월드,kosdaq,2017-09-28,5100,5100,-1,3,2017,6,22,0.333
669,야스,kosdaq,2017-09-29,23500,21150,-1,3,2017,5,23,0.333
670,상신전자,kosdaq,2017-10-16,13300,13300,-1,4,2017,-1,1,0.217
671,세원,kosdaq,2017-10-20,5700,8600,1,4,2017,0,2,0.217
672,영화테크,kosdaq,2017-10-26,12500,25000,1,4,2017,1,3,0.217
673,테이팩스(유가),kospi,2017-10-31,23000,26600,1,4,2017,2,4,0.217
674,티슈진,kosdaq,2017-11-06,27000,52000,1,4,2017,3,5,0.217
675,비디아이,kosdaq,2017-11-09,10000,17600,1,4,2017,4,6,0.217
676,스튜디오드래곤,kosdaq,2017-11-24,35000,55300,1,4,2017,5,7,0.217
677,삼양패키징(유가),kospi,2017-11-29,26000,25750,-1,4,2017,4,8,0.217
678,비즈니스온커뮤니케이션,kosdaq,2017-11-30,9000,16900,1,4,2017,5,9,0.217
679,대원,kosdaq,2017-12-01,15000,16000,1,4,2017,6,10,0.217
680,체리부로,kosdaq,2017-12-04,4700,5020,1,4,2017,7,11,0.217
681,에스트래픽,kosdaq,2017-12-05,10000,20000,1,4,2017,8,12,0.217
682,메카로,kosdaq,2017-12-06,33000,43000,1,4,2017,9,13,0.217
683,씨티케이코스메틱스,kosdaq,2017-12-07,55000,49500,-1,4,2017,8,14,0.217
684,진에어(유가),kospi,2017-12-08,31800,31800,-1,4,2017,7,15,0.217
685,동양피스톤(유가),kospi,2017-12-08,5700,5130,-1,4,2017,6,16,0.217
686,디바이스이엔지,kosdaq,2017-12-20,12000,10800,-1,4,2017,5,17,0.217
687,시스웍,kosdaq,2017-12-26,2800,3810,1,4,2017,6,18,0.217
688,씨앤지하이테크,kosdaq,2018-01-25,16000,18600,1,1,2018,1,1,0.333
689,에스지이,kosdaq,2018-01-26,6000,5400,-1,1,2018,0,2,0.333
690,배럴,kosdaq,2018-02-01,9500,10400,1,1,2018,1,3,0.333
691,링크제니시스,kosdaq,2018-02-05,30000,53000,1,1,2018,2,4,0.333
692,카페24,kosdaq,2018-02-08,57000,84500,1,1,2018,3,5,0.333
693,아시아종묘,kosdaq,2018-02-12,4500,4520,1,1,2018,4,6,0.333
694,알리코제약,kosdaq,2018-02-12,12000,18100,1,1,2018,5,7,0.333
695,동구바이오제약,kosdaq,2018-02-13,16000,32000,1,1,2018,6,8,0.333
696,엔지켐생명과학,kosdaq,2018-02-21,56000,87000,1,1,2018,7,9,0.333
697,오스테오닉,kosdaq,2018-02-22,7700,15400,1,1,2018,8,10,0.333
698,린드먼아시아인베스트먼트,kosdaq,2018-03-14,6500,13000,1,1,2018,9,11,0.333
699,에코마이스터,kosdaq,2018-03-15,5200,7000,1,1,2018,10,12,0.333
700,애경산업(유가),kospi,2018-03-22,29100,28000,-1,1,2018,9,13,0.333
701,케어랩스,kosdaq,2018-03-28,20000,40000,1,1,2018,10,14,0.333
702,제이티씨(JTC),kosdaq,2018-04-06,8500,14050,1,2,2018,1,1,0.714
703,제노레이,kosdaq,2018-05-28,23000,45900,1,2,2018,2,2,0.714
704,세종메디칼,kosdaq,2018-05-29,15000,23100,1,2,2018,3,3,0.714
705,현대사료,kosdaq,2018-06-01,6600,13200,1,2,2018,4,4,0.714
706,파워넷,kosdaq,2018-06-07,6500,10100,1,2,2018,5,5,0.714
707,이원다이애그노믹스,kosdaq,2018-06-26,6500,9000,1,2,2018,6,6,0.714
708,에스브이인베스트먼트,kosdaq,2018-07-06,7000,9000,1,3,2018,1,1,1.0
709,아이큐어,kosdaq,2018-07-12,65000,58500,-1,3,2018,0,2,1.0
710,올릭스,kosdaq,2018-07-18,36000,72000,1,3,2018,1,3,1.0
711,엠코르셋,kosdaq,2018-07-23,11500,11050,-1,3,2018,0,4,1.0
712,한국유니온제약,kosdaq,2018-07-26,18000,23000,1,3,2018,1,5,1.0
713,롯데정보통신(유가),kospi,2018-07-27,29800,30550,1,3,2018,2,6,1.0
714,티웨이항공(유가),kospi,2018-08-01,12000,11600,-1,3,2018,1,7,1.0
715,휴네시온,kosdaq,2018-08-02,10000,15000,1,3,2018,2,8,1.0
716,에스에스알,kosdaq,2018-08-06,9000,18000,1,3,2018,3,9,1.0
717,디아이티,kosdaq,2018-08-07,10000,10550,1,3,2018,4,10,1.0
718,대유,kosdaq,2018-08-10,9000,13250,1,3,2018,5,11,1.0
719,바이오솔루션,kosdaq,2018-08-20,29000,28200,-1,3,2018,4,12,1.0
720,에이피티씨,kosdaq,2018-08-23,9000,9310,1,3,2018,5,13,1.0
721,오파스넷,kosdaq,2018-08-24,11000,18000,1,3,2018,6,14,1.0
722,액트로,kosdaq,2018-08-28,20000,20700,1,3,2018,7,15,1.0
723,디지캡,kosdaq,2018-09-07,12000,13250,1,3,2018,8,16,1.0
724,명성티엔에스,kosdaq,2018-09-13,20000,22000,1,3,2018,9,17,1.0
725,우진아이엔에스(유가),kospi,2018-09-14,15000,15150,1,3,2018,10,18,1.0
726,지티지웰니스,kosdaq,2018-09-21,11000,15250,1,3,2018,11,19,1.0
727,크리스에프앤씨,kosdaq,2018-10-01,30000,27000,-1,4,2018,-1,1,0.579
728,하나제약(유가),kospi,2018-10-02,26000,30100,1,4,2018,0,2,0.579
729,푸드나무,kosdaq,2018-10-04,24000,43350,1,4,2018,1,3,0.579
730,나우아이비캐피탈,kosdaq,2018-10-04,8500,9300,1,4,2018,2,4,0.579
731,에스퓨얼셀,kosdaq,2018-10-15,16500,33000,1,4,2018,3,5,0.579
732,로보티즈,kosdaq,2018-10-26,14000,28000,1,4,2018,4,6,0.579
733,옵티팜,kosdaq,2018-10-26,10000,9000,-1,4,2018,3,7,0.579
734,엘앤씨바이오,kosdaq,2018-11-01,24000,29800,1,4,2018,4,8,0.579
735,노바텍,kosdaq,2018-11-02,10000,14100,1,4,2018,5,9,0.579
736,대보마그네틱,kosdaq,2018-11-06,31000,60200,1,4,2018,6,10,0.579
737,셀리버리,kosdaq,2018-11-09,25000,32000,1,4,2018,7,11,0.579
738,노바렉스,kosdaq,2018-11-14,19000,25450,1,4,2018,8,12,0.579
739,디자인,kosdaq,2018-11-15,10100,20200,1,4,2018,9,13,0.579
740,디케이앤디,kosdaq,2018-11-20,6000,7570,1,4,2018,10,14,0.579
741,아주IB투자,kosdaq,2018-11-21,1500,1350,-1,4,2018,9,15,0.579
742,파멥신,kosdaq,2018-11-21,60000,58100,-1,4,2018,8,16,0.579
743,싸이토젠,kosdaq,2018-11-22,17000,17800,1,4,2018,9,17,0.579
744,디알젬,kosdaq,2018-11-22,6500,8470,1,4,2018,10,18,0.579
745,아시아나IDT(유가),kospi,2018-11-23,15000,14300,-1,4,2018,9,19,0.579
746,네오펙트,kosdaq,2018-11-28,11000,9900,-1,4,2018,8,20,0.579
747,티앤알바이오팹,kosdaq,2018-11-28,18000,16200,-1,4,2018,7,21,0.579
748,티로보틱스,kosdaq,2018-11-29,16000,14400,-1,4,2018,6,22,0.579
749,엠아이텍,kosdaq,2018-11-29,4500,4050,-1,4,2018,5,23,0.579
750,남화산업,kosdaq,2018-11-29,3700,5610,1,4,2018,6,24,0.579
751,윙입푸드,kosdaq,2018-11-30,2000,1800,-1,4,2018,5,25,0.579
752,베스파,kosdaq,2018-12-03,35000,33400,-1,4,2018,4,26,0.579
753,에코캡,kosdaq,2018-12-05,4200,4100,-1,4,2018,3,27,0.579
754,대유에이피,kosdaq,2018-12-07,3000,6000,1,4,2018,4,28,0.579
755,이노메트리,kosdaq,2018-12-12,26000,40000,1,4,2018,5,29,0.579
756,뉴트리,kosdaq,2018-12-13,14500,13050,-1,4,2018,4,30,0.579
757,전진바이오팜,kosdaq,2018-12-14,10000,11550,1,4,2018,5,31,0.579
758,머큐리,kosdaq,2018-12-14,6100,9630,1,4,2018,6,32,0.579
759,에이비엘바이오,kosdaq,2018-12-19,15000,13500,-1,4,2018,5,33,0.579
760,위지윅스튜디오,kosdaq,2018-12-20,11000,11250,1,4,2018,6,34,0.579
761,디케이티,kosdaq,2018-12-21,7400,12900,1,4,2018,7,35,0.579
762,유틸렉스,kosdaq,2018-12-24,50000,60100,1,4,2018,8,36,0.579
763,비피도,kosdaq,2018-12-26,18000,36000,1,4,2018,9,37,0.579
764,에어부산(유가),kospi,2018-12-27,3600,4020,1,4,2018,10,38,0.579
765,웹케시,kosdaq,2019-01-25,26000,31700,1,1,2019,1,1,0.263
766,노랑풍선,kosdaq,2019-01-30,20000,30350,1,1,2019,2,2,0.263
767,이노테라피,kosdaq,2019-02-01,18000,22200,1,1,2019,3,3,0.263
768,천보,kosdaq,2019-02-11,40000,52500,1,1,2019,4,4,0.263
769,셀리드,kosdaq,2019-02-20,33000,43750,1,1,2019,5,5,0.263
770,에코프로비엠,kosdaq,2019-03-05,48000,61100,1,1,2019,6,6,0.263
771,드림텍(유가),kospi,2019-03-14,13000,17350,1,1,2019,7,7,0.263
772,미래에셋벤처투자,kosdaq,2019-03-15,4500,6150,1,1,2019,8,8,0.263
773,이지케어텍,kosdaq,2019-03-22,12300,24600,1,1,2019,9,9,0.263
774,지노믹트리,kosdaq,2019-03-27,27000,29450,1,1,2019,10,10,0.263
775,현대오토에버(유가),kospi,2019-03-28,48000,75500,1,1,2019,11,11,0.263
776,아모그린텍,kosdaq,2019-03-29,9900,10300,1,1,2019,12,12,0.263
777,에스앤케이,kosdaq,2019-05-07,40400,36400,-1,2,2019,-1,1,1.0
