,기업명,매출액(백만원),순이익(백만원),구주매출,희망공모가(최저),희망공모가(최고),청약경쟁률(:1),확정공모가(원),경쟁률(:1),의무보유확약(:1),시초/공모%(수익률),공모가(원),시초가(원),상장일
180,그린플러스,42151.0,2213.0,1.0,8500.0,10000.0,700.96,10000,863.94,5.85,11.5,10000,11150,20190807
181,덕산테코피아,70930.0,18783.0,0.79,17000.0,19000.0,1.96,19000,348.63,7.17,-10.0,19000,17100,20190802
182,슈프리마아이디,18081.0,3571.0,0.77,23000.0,27000.0,707.26,27000,1124.05,13.14,28.7,27000,34750,20190801
183,윌링스,54327.0,4294.0,0.7,10000.0,12500.0,532.83,12500,1082.15,18.18,82.4,12500,22800,20190725
184,대모(구.대모엔지니어링),51026.0,3119.0,0.79,4800.0,5200.0,1268.53,5200,1103.1,15.6,67.5,5200,8710,20190724
185,에이스토리,46446.0,2320.0,1.0,11600.0,14300.0,131.51,14300,614.25,3.56,-9.79,14300,12900,20190719
186,플리토,3505.0,-3761.0,0.67,19000.0,23000.0,710.71,26000,1133.0,22.0,21.54,26000,31600,20190717
187,세틀뱅크,57164.0,11995.0,0.64,44000.0,49000.0,309.6,55000,1122.0,14.8,-10.0,55000,49500,20190712
188,아이스크림에듀,86608.0,7108.0,1.0,15900.0,18000.0,5.7,15900,124.73,1.34,-9.75,15900,14350,20190711
189,에이에프더블류,30330.0,8713.0,0.53,19500.0,22500.0,552.22,22500,866.03,13.72,24.44,22500,28000,20190701
190,압타바이오,300.0,-31123.0,1.0,21000.0,25000.0,663.03,30000,856.41,35.1,67.33,30000,50200,20190612
191,까스텔바쟉,84152.0,6356.0,0.29,16000.0,19000.0,3.4,12000,32.53,3.86,41.67,12000,17000,20190610
192,마이크로디지탈,4554.0,-30.0,1.0,20000.0,23000.0,1116.34,23000,621.48,2.29,78.48,23000,41050,20190605
193,컴퍼니케이파트너스,9866.0,3336.0,1.0,3600.0,4000.0,850.46,4500,865.66,27.8,82.22,4500,8200,20190523
194,수젠텍,3440.0,-20960.0,1.0,12000.0,14000.0,1.48,12000,75.21,3.15,-7.08,12000,11150,20190528
195,아모그린텍,111297.0,-5238.0,0.8,8800.0,9900.0,22.13,9900,164.22,3.05,4.04,9900,10300,20190329
196,지노믹트리,454.0,-2113.0,1.0,17000.0,25000.0,13.1,27000,372.0,22.8,9.07,27000,29450,20190327
197,이지케어텍,55374.0,3606.0,1.0,10100.0,12300.0,1272.11,12300,1108.03,40.25,100.0,12300,24600,20190322
198,미래에셋벤처투자,54949.0,6305.0,1.0,3700.0,4500.0,1021.77,4500,441.4,3.7,36.67,4500,6150,20190315
199,에코프로비엠,289870.0,15159.0,1.0,37500.0,42900.0,273.78,48000,988.49,45.04,27.29,48000,61100,20190305
200,천보,87606.0,14822.0,0.8,35000.0,40000.0,426.09,40000,891.1,15.8,31.25,40000,52500,20190211
201,이노테라피,180.0,-3012.0,1.0,20200.0,25200.0,463.37,18000,154.44,2.83,23.33,18000,22200,20190201
202,노랑풍선,83822.0,10436.0,0.74,15500.0,19000.0,1025.2,20000,978.43,12.42,51.75,20000,30350,20190130
203,웹케시,77086.0,3679.0,1.0,24000.0,26000.0,9473.1,26000,614.0,6.8,21.92,26000,31700,20190125
204,유틸렉스,133.0,-9593.0,1.0,38000.0,50000.0,322.96,50000,597.2,18.63,20.2,50000,60100,20181224
205,디케이티,117043.0,4611.0,1.0,6000.0,7400.0,780.32,7400,771.42,3.5,74.32,7400,12900,20181221
206,에이비엘바이오,71.0,-74734.0,1.0,13000.0,17000.0,0.78,15000,60.08,10.99,-10.0,15000,13500,20181219
207,위지윅스튜디오,12989.0,499.0,1.0,9000.0,13000.0,6.84,11000,177.33,1.13,2.27,11000,11250,20181220
208,머큐리,138330.0,4443.0,0.5,5200.0,6100.0,930.39,6100,749.57,13.35,57.87,6100,9630,20181214
209,전진바이오팜,3136.0,-3041.0,1.0,15000.0,17000.0,24.8,10000,14.69,27.2,15.5,10000,11550,20181214
210,이노메트리,14063.0,1177.0,1.0,21000.0,25000.0,791.16,26000,765.22,11.39,53.85,26000,40000,20181212
211,티앤알바이오팹,406.0,-4058.0,1.0,18000.0,23000.0,500.35,18000,101.9,1.0,-10.0,18000,16200,20181128
212,엠아이텍,22541.0,2051.0,0.5,3900.0,4500.0,883.39,4500,472.57,0.42,-10.0,4500,4050,20181129
213,네오펙트,7288.0,160.0,1.0,10000.0,12500.0,400.8,11000,338.01,0.89,-10.0,11000,9900,20181128
214,남화산업,14214.0,8543.0,1.0,3100.0,3700.0,858.4,3700,822.09,6.14,51.62,3700,5610,20181129
215,싸이토젠,850.0,-2149.0,1.0,13000.0,17000.0,705.49,17000,608.85,0.7,4.71,17000,17800,20181122
216,디알젬,49324.0,4132.0,1.0,5000.0,7000.0,832.96,6500,785.43,1.05,30.31,6500,8470,20181122
217,파멥신,209.0,-6483.0,1.0,43000.0,55000.0,322.78,60000,764.16,18.81,-3.17,60000,58100,20181121
218,디자인,30472.0,2225.0,1.0,9000.0,10100.0,665.04,10100,771.73,3.86,100.0,10100,20200,20181115
219,노바렉스,80854.0,8567.0,1.0,19000.0,24000.0,631.42,19000,48.64,18.99,33.95,19000,25450,20181114
220,셀리버리,2774.0,-15008.0,1.0,20000.0,25000.0,808.45,25000,698.98,16.8,28.0,25000,32000,20181109
221,대보마그네틱,13165.0,3760.0,0.73,22500.0,25500.0,837.58,31000,995.4,45.41,94.19,31000,60200,20181106
222,엘앤씨바이오,17901.0,3753.0,1.0,18000.0,20000.0,985.59,24000,937.08,17.27,24.17,24000,29800,20181101
223,노바텍,21284.0,3975.0,0.7,12500.0,16500.0,326.67,10000,66.32,0.03,41.0,10000,14100,20181102
224,옵티팜,13857.0,-1567.0,0.75,10000.0,12000.0,463.49,10000,94.57,11.6,-10.0,10000,9000,20181026
225,로보티즈,17914.0,1781.0,1.0,9200.0,11300.0,1043.92,14000,958.6,39.8,100.0,14000,28000,20181026
226,에스퓨얼셀,20295.0,2789.0,0.67,10600.0,14000.0,857.78,16500,942.85,40.5,100.0,16500,33000,20181015
227,푸드나무,34826.0,3922.0,0.87,18700.0,22700.0,914.05,24000,791.08,16.5,80.63,24000,43350,20181004
228,지티지웰니스,23053.0,2459.0,1.0,9000.0,9800.0,514.16,11000,946.89,4.22,38.64,11000,15250,20180921
229,명성티엔에스,64575.0,5857.0,0.63,16100.0,18700.0,804.79,20000,745.56,11.73,10.0,20000,22000,20180913
230,디지캡,16311.0,2045.0,0.61,8500.0,10500.0,931.79,12000,979.06,4.18,10.42,12000,13250,20180907
231,액트로,50659.0,5654.0,1.0,20000.0,24000.0,545.42,20000,132.07,1.86,3.5,20000,20700,20180828
232,에이피티씨,41122.0,10850.0,1.0,11500.0,13000.0,22.69,9000,20.99,8.7,3.44,9000,9310,20180823
233,오파스넷,71416.0,3080.0,1.0,8500.0,9700.0,1401.36,11000,861.66,14.22,63.64,11000,18000,20180824
234,바이오솔루션,5011.0,-1806.0,1.0,24000.0,29000.0,302.62,29000,174.79,5.04,-2.76,29000,28200,20180820
235,에스에스알,11326.0,2515.0,1.0,6600.0,7500.0,1231.66,9000,928.44,41.62,100.0,9000,18000,20180806
236,휴네시온,13193.0,2995.0,0.86,8700.0,10000.0,827.74,10000,751.89,8.9,50.0,10000,15000,20180802
237,디아이티,85994.0,11909.0,1.0,9400.0,10400.0,11.1,10000,105.14,6.8,5.5,10000,10550,20180807
238,한국유니온제약,47470.0,4420.0,1.0,13500.0,16000.0,1015.13,18000,918.99,9.4,27.78,18000,23000,20180726
239,엠코르셋,124300.0,7757.0,0.8,10100.0,11500.0,51.47,11500,766.05,16.4,-3.91,11500,11050,20180723
240,올릭스,244.0,-5164.0,1.0,26000.0,30000.0,847.09,36000,876.72,74.03,100.0,36000,72000,20180718
241,아이큐어,35674.0,240.0,1.0,44000.0,55000.0,331.42,65000,642.1,5.08,-10.0,65000,58500,20180712
242,에스브이인베스트먼트,10450.0,2113.0,1.0,5600.0,6300.0,974.23,7000,786.73,4.7,28.57,7000,9000,20180706
243,이다이애그노믹스,1449.0,-3606.0,1.0,4700.0,5700.0,810.33,6500,749.79,27.87,38.46,6500,9000,20180626
244,파워넷,137731.0,6114.0,0.5,5500.0,6500.0,1144.0,6500,590.6,7.66,55.38,6500,10100,20180607
245,현대사료,106532.0,3513.0,1.0,5700.0,6600.0,1690.0,6600,839.16,31.92,100.0,6600,13200,20180601
246,세종메디칼,12773.0,3192.0,0.6,10800.0,13700.0,922.71,15000,836.68,39.75,54.0,15000,23100,20180529
247,제노레이,35467.0,2905.0,0.76,17500.0,20500.0,1028.72,23000,907.12,32.59,99.57,23000,45900,20180528
248,케어랩스,18597.0,1935.0,1.0,15000.0,18000.0,886.14,20000,934.42,40.19,100.0,20000,40000,20180328
249,린드먼아시아인베스트먼트,6335.0,2802.0,1.0,5000.0,5500.0,1039.51,6500,640.8,27.4,100.0,6500,13000,20180314
250,엔지켐생명과학,21835.0,-6332.0,1.0,45000.0,70000.0,342.31,56000,258.68,13.25,55.36,56000,87000,20180221
251,오스테오닉,6640.0,1541.0,1.0,5800.0,7500.0,998.83,7700,442.0,1.7,100.0,7700,15400,20180222
252,동구바이오제약,87363.0,10923.0,0.93,12000.0,14500.0,836.67,16000,727.7,53.41,100.0,16000,32000,20180213
253,아시아종묘,21313.0,2409.0,1.0,4200.0,5200.0,243.2,4500,239.52,4.39,0.44,4500,4520,20180212
254,알리코제약,48127.0,2243.0,1.0,10000.0,13000.0,697.3,12000,389.27,9.38,50.83,12000,18100,20180212
255,카페24,118080.0,-1272.0,1.0,43000.0,57000.0,731.58,57000,672.71,42.9,48.25,57000,84500,20180208
256,링크제니시스,10195.0,1758.0,1.0,22000.0,25000.0,1184.36,30000,754.6,35.9,76.67,30000,53000,20180205
257,배럴,24247.0,3713.0,1.0,8000.0,9500.0,369.78,9500,298.48,9.06,9.47,9500,10400,20180201
258,시스웍,24178.0,5347.0,1.0,3300.0,3900.0,830.31,2800,78.86,0.44,36.07,2800,3810,20171226
259,메카로,48134.0,2926.0,1.0,25000.0,30000.0,664.69,33000,719.26,42.07,30.3,33000,43000,20171206
260,씨티케이코스메틱스,133888.0,23325.0,1.0,46000.0,55000.0,145.75,55000,188.65,6.6,-10.0,55000,49500,20171207
261,에스트래픽,88748.0,8209.0,1.0,8000.0,10000.0,1128.18,10000,605.02,13.4,100.0,10000,20000,20171205
262,대,226696.0,36888.0,0.5,13000.0,15000.0,460.24,15000,247.25,0.2,6.67,15000,16000,20171201
263,체리부로,290878.0,16031.0,0.68,4300.0,4700.0,616.6,4700,265.38,0.4,6.81,4700,5020,20171204
264,비즈니스온커뮤니케이션,11711.0,2626.0,1.0,8100.0,9000.0,1075.91,9000,513.97,14.9,87.78,9000,16900,20171130
265,에스엔피월드,27164.0,3856.0,1.0,4300.0,5100.0,661.5,5100,534.27,4.97,0.0,5100,5100,20170928
266,야스,82982.0,13064.0,0.74,23500.0,26500.0,0.52,23500,28.9,7.15,-10.0,23500,21150,20170929
267,유티아이,38852.0,13037.0,0.48,28000.0,33000.0,3.44,25000,5.05,0.4,-10.0,25000,22500,20170927
268,신흥에스이씨,90112.0,5552.0,0.5,11000.0,14000.0,731.42,16000,482.4,33.1,83.75,16000,29400,20170927
269,엠플러스,28031.0,3542.0,0.8,14000.0,16000.0,1003.24,18000,596.2,27.2,57.5,18000,28350,20170920
270,샘코,28814.0,2044.0,1.0,14000.0,18000.0,207.0,11000,19.26,0.96,9.09,11000,12000,20170915
271,앱클론,3120.0,-1597.0,1.0,8000.0,10000.0,799.09,10000,564.87,21.72,100.0,10000,20000,20170918
272,펄어비스,33690.0,24425.0,1.0,80000.0,103000.0,0.43,103000,62.4,6.22,-10.0,103000,92700,20170914
273,덕우전자,76328.0,10785.0,0.6,13500.0,15500.0,586.43,15500,282.69,11.35,9.03,15500,16900,20170828
274,이더블유케이,28570.0,3263.0,0.75,4200.0,5000.0,1160.15,5000,588.13,25.95,100.0,5000,10000,20170822
275,알에스오토메이션,70698.0,3004.0,1.0,5250.0,6000.0,1058.82,6000,656.89,61.0,99.17,6000,11950,20170811
276,모트렉스,200359.0,15018.0,0.85,31200.0,38300.0,422.73,38300,357.12,11.24,-0.78,38300,38000,20170804
277,디앤씨미디어,18893.0,3012.0,1.0,17000.0,20000.0,563.1,20000,539.1,33.5,61.5,20000,32300,20170801
278,데이타솔루션,100820.0,3054.0,0.7,2700.0,3300.0,733.74,3300,395.83,23.09,100.0,3300,6600,20170803
279,지니언스,20615.0,3658.0,1.0,12000.0,13500.0,922.71,13500,620.04,14.5,48.52,13500,20050,20170802
280,셀트리온헬스케어,402389.0,28641.0,1.0,32500.0,41000.0,6.95,41000,38.06,12.5,6.46,41000,43650,20170728
281,이즈미디어,39808.0,4167.0,0.92,7500.0,10000.0,13.87,7500,129.22,1.38,12.0,7500,8400,20170726
282,힘스,50876.0,4951.0,1.0,15500.0,18800.0,795.94,20000,729.64,27.48,62.5,20000,32500,20170720
283,브이텍,24455.0,7969.0,0.8,15200.0,17700.0,754.31,17700,557.47,8.3,13.56,17700,20100,20170713
284,제일홀딩스,6196498.0,371783.0,1.0,20700.0,22700.0,20.67,20700,113.98,2.88,-9.9,20700,18650,20170630
285,보라티알,6963.0,829.0,1.0,12500.0,14300.0,1026.34,14300,557.61,13.3,32.17,14300,18900,20170608
286,삼양옵틱스,57221.0,13419.0,1.0,16700.0,20600.0,2.88,16700,33.2,8.7,0.0,16700,16700,20170602
287,필옵틱스,177220.0,14820.0,1.0,41000.0,48000.0,588.96,48000,647.18,13.25,0.42,48000,48200,20170601
288,하나머티리얼즈,52713.0,7608.0,1.0,10000.0,12000.0,955.33,12000,689.9,49.73,45.83,12000,17500,20170428
289,와이엠티,49939.0,7742.0,0.89,16500.0,18500.0,841.57,21000,706.16,42.75,67.14,21000,35100,20170427
290,이엘피,16079.0,3204.0,1.0,17000.0,20000.0,738.15,20000,527.12,11.26,10.0,20000,22000,20170406
291,서진시스템,36021.0,6491.0,0.91,21000.0,25000.0,742.06,25000,588.93,36.65,60.0,25000,40000,20170327
292,코미코,38664.0,7157.0,0.4,11000.0,13000.0,745.44,13000,580.68,30.91,123.46,13000,29050,20170323
293,모바일어플라이언스,53720.0,1679.0,0.27,3000.0,3500.0,636.77,3500,471.31,19.13,68.57,3500,5900,20170224
294,에프엔에스테크,44578.0,2794.0,1.0,11000.0,13000.0,840.67,14000,624.02,6.26,21.79,14000,17050,20170227
295,신신제약,51614.0,3886.0,1.0,5900.0,6700.0,72.5,4500,40.88,0.06,37.11,4500,6170,20170228
296,피씨엘,243.0,-1864.0,1.0,10500.0,13000.0,2.01,8000,6.61,0.46,-2.5,8000,7800,20170223
297,서플러스글로벌,94114.0,8975.0,0.97,7400.0,9400.0,548.0,8000,81.31,1.04,6.25,8000,8500,20170125
298,퓨전데이타,18784.0,2766.0,1.0,10000.0,11500.0,572.56,11500,345.36,12.05,80.43,11500,20750,20161221
299,뉴파워프라즈마,50265.0,8181.0,1.0,15000.0,17000.0,521.29,17500,501.2,7.8,0.0,17500,17500,20161130
300,오션브릿지,25389.0,3496.0,1.0,5400.0,6600.0,1135.44,6600,617.92,10.75,17.12,6600,7730,20161201
301,클리오,106914.0,17651.0,0.5,36400.0,41000.0,5.68,41000,153.08,10.42,-2.56,41000,39950,20161109
302,오가닉티코스메틱,136188.0,34661.0,1.0,3200.0,3700.0,672.42,4000,672.02,11.3,62.75,4000,6510,20161104
303,로고스바이오시스템스,3870.0,-250.0,1.0,22200.0,25500.0,208.48,25500,190.16,0.53,0.0,25500,25500,20161103
304,인크로스,26514.0,-230.0,0.62,38000.0,43000.0,1047.5,43000,492.1,6.1,57.44,43000,67700,20161031
305,에이치엘사이언스(구.건강사랑),23705.0,3521.0,0.7,23900.0,30700.0,174.0,27000,274.19,5.6,42.22,27000,38400,20161028
306,코스메카코리아,99150.0,5027.0,1.0,48000.0,54000.0,391.4,54000,573.0,30.8,32.22,54000,71400,20161028
307,인텔리안테크놀로지스,49296.0,4925.0,1.0,18000.0,20500.0,744.63,19000,319.0,1.3,-1.32,19000,18750,20161018
308,에이치시티,24454.0,4894.0,1.0,19200.0,22500.0,127.28,17000,95.67,11.6,14.71,17000,19500,20161017
309,앤디포스,57458.0,13758.0,0.71,13000.0,14500.0,524.2,14500,406.09,10.6,20.69,14500,17500,20161012
310,수산아이앤티(구.플러스기술),14082.0,4296.0,1.0,10500.0,11500.0,12.97,11500,157.55,0.64,0.0,11500,11500,20161011
311,엔지스테크널러지,6328.0,1753.0,1.0,8900.0,10000.0,562.94,10000,475.6,21.2,90.0,10000,19000,20160728
312,팍스넷,20588.0,3631.0,1.0,4600.0,5200.0,946.51,5200,753.07,5.19,100.0,5200,10400,20160801
313,우리손에프앤지,155022.0,14990.0,0.5,1935.0,2210.0,638.97,2210,455.1,40.4,81.0,2210,4000,20160727
314,옵토팩,31661.0,-356.0,1.0,5000.0,5900.0,371.21,5900,397.4,2.82,5.25,5900,6210,20160720
315,장테크,202485.0,21381.0,0.8,15000.0,17500.0,854.49,17500,216.32,11.3,27.14,17500,22250,20160715
316,바이오리더스,1167.0,-5429.0,1.0,11000.0,15000.0,1222.58,15000,352.2,6.5,14.0,15000,17100,20160707
317,피앤씨테크,23950.0,4889.0,1.0,9000.0,10200.0,679.77,10200,306.39,10.89,7.84,10200,11000,20160704
318,에스티팜,138052.0,25189.0,1.0,24000.0,27000.0,236.85,29000,717.41,60.03,62.07,29000,47000,20160623
319,녹십자랩셀,34489.0,2260.0,1.0,13600.0,15900.0,799.76,18500,733.72,51.66,100.0,18500,37000,20160623
320,레이언스,77943.0,3217.0,1.0,22000.0,25000.0,328.14,25000,430.31,20.7,-5.2,25000,23700,20160411
321,씨엠에스에듀,38273.0,6408.0,1.0,19000.0,23200.0,185.81,23200,302.17,28.83,15.52,23200,26800,20160407
322,팬젠,3400.0,-2120.0,1.0,12500.0,16500.0,1073.0,16500,614.46,14.04,50.91,16500,24900,20160311
323,에이피위성통신,34571.0,7042.0,1.0,8700.0,9700.0,869.66,9700,271.55,7.8,27.84,9700,12400,20160304
324,큐리언트,215.0,-10706.0,1.0,18000.0,21000.0,959.28,21000,709.15,35.24,61.43,21000,33900,20160229
325,안트로젠,1834.0,-1416.0,1.0,17000.0,22000.0,1442.55,24000,531.1,30.6,58.33,24000,38000,20160215
326,아이엠텍,46553.0,5180.0,1.0,6500.0,7500.0,138.9,7500,112.3,25.0,13.33,7500,8500,20160203
327,유니트론텍,86379.0,5657.0,1.0,12300.0,14000.0,1112.76,14000,455.8,21.7,80.71,14000,25300,20160202
328,한솔씨앤피,50873.0,3745.0,1.0,13000.0,16800.0,789.84,13000,136.97,5.97,45.77,13000,18950,20160127
329,코디엠,38105.0,1914.0,1.0,4700.0,5800.0,599.99,4700,39.79,2.51,59.36,4700,7490,20151229
330,이에스브이,32746.0,2239.0,1.0,13000.0,15000.0,558.9,10000,23.29,2.38,85.0,10000,18500,20151224
331,아진산업,134258.0,15665.0,1.0,6500.0,7500.0,0.47,6500,11.61,8.7,17.23,6500,7620,20151222
332,휴젤,23269.0,10758.0,1.0,190000.0,210000.0,91.63,150000,6.7,8.61,33.0,150000,199500,20151224
333,한국맥널티,19421.0,5340.0,1.0,10500.0,11500.0,479.79,8000,60.5,0.2,100.0,8000,16000,20151223
334,덱스터,18665.0,2862.0,1.0,11000.0,14000.0,500.76,14000,255.31,33.1,77.14,14000,24800,20151222
335,메가엠디,61775.0,5146.0,1.0,3600.0,4600.0,280.82,3000,16.67,7.5,67.33,3000,5020,20151218
336,씨트리,17164.0,305.0,1.0,8300.0,10200.0,199.96,6500,4.7,0.6,42.31,6500,9250,20151221
337,파크시스템스,15293.0,-717.0,1.0,9000.0,11000.0,7.55,9000,50.29,57.3,22.22,9000,11000,20151217
338,예스티,40423.0,670.0,1.0,14500.0,18500.0,9.8,14500,32.9,73.3,6.9,14500,15500,20151216
339,뉴트리바이오텍,45409.0,2388.0,1.0,21000.0,24000.0,2.38,21000,93.92,28.32,9.52,21000,23000,20151216
340,엔에스,20780.0,1614.0,1.0,6300.0,7200.0,29.5,8000,179.61,21.42,61.88,8000,12950,20151207
341,미래테크놀로지,17388.0,3897.0,1.0,14300.0,16100.0,1.5,16100,117.3,5.7,-7.14,16100,14950,20151201
342,엠지메드,4691.0,208.0,1.0,33000.0,40000.0,1350.05,40000,715.39,14.86,2.5,40000,41000,20151120
343,매직마이크로,53279.0,3413.0,1.0,5200.0,6400.0,36.57,5500,75.03,1.33,-1.45,5500,5420,20151119
344,케이디켐,43295.0,4401.0,1.0,14700.0,17800.0,5.46,16000,66.2,3.0,-7.19,16000,14850,20151119
345,하이즈항공,31291.0,3109.0,1.0,23000.0,26000.0,3.08,18000,47.27,0.89,-10.0,18000,16200,20151125
346,리드,40483.0,2004.0,1.0,4500.0,5100.0,45.64,5100,42.89,7.0,-10.0,5100,4590,20151120
347,네오오토,108776.0,6831.0,1.0,11400.0,12800.0,34.44,12000,113.08,3.54,-1.67,12000,11800,20151118
348,아이진,27546.0,-2926.0,1.0,12000.0,13500.0,267.72,13500,408.1,7.5,-4.44,13500,12900,20151116
349,나무가,218331.0,1822.0,1.0,32000.0,37000.0,0.91,37000,108.34,3.62,-9.73,37000,33400,20151112
350,유앤아이,15639.0,1553.0,1.0,25000.0,30000.0,638.25,30000,377.4,4.0,-4.5,30000,28650,20151112
351,케어젠,28584.0,14155.0,1.0,80000.0,90000.0,263.19,110000,833.46,62.0,-7.73,110000,101500,20151117
352,더블유게임즈,71257.0,27908.0,1.0,51000.0,61000.0,241.18,65000,413.82,14.66,0.15,65000,65100,20151104
353,연우,168759.0,8670.0,1.0,20300.0,25200.0,680.0,25200,317.0,51.0,11.71,25200,28150,20151102
354,에이티젠,1678.0,-6031.0,1.0,12500.0,14500.0,1166.97,17000,695.7,40.6,100.0,17000,34000,20151023
355,에치디프로,66063.0,2664.0,1.0,7800.0,8900.0,843.36,8900,362.84,6.21,7.64,8900,9580,20151013
356,타이거일렉,25327.0,2694.0,1.0,6000.0,6900.0,241.92,6000,230.02,1.36,-4.67,6000,5720,20150925
357,제너셈,32193.0,5028.0,1.0,9000.0,10500.0,797.33,10500,326.77,4.15,4.76,10500,11000,20150925
358,인포마크,70657.0,3389.0,1.0,12000.0,14000.0,381.0,14000,251.2,12.0,78.57,14000,25000,20150923
359,웹스,27878.0,3328.0,1.0,6500.0,7200.0,1114.21,7200,438.83,33.54,58.33,7200,11400,20150824
360,파인텍,141968.0,11825.0,1.0,9000.0,10500.0,1041.73,10500,382.64,45.68,100.0,10500,21000,20150817
361,흥국에프엔비,35084.0,6272.0,1.0,14500.0,17500.0,1001.61,20000,666.88,63.87,100.0,20000,40000,20150807
362,아시아경제신문사,32652.0,4325.0,1.0,3200.0,3600.0,12.31,3600,280.85,15.82,-10.0,3600,3240,20150731
