,cor_name,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,avail_for_circul,nasdaq_score,search_amt,Trend,score,market_cap
349,코스메카코리아,573,30.8,0,20161028,54000,71400,32.22,99150,5027,1,391.4,20161011,20161019,48000,54000,28.05,-0.007,-0.068,0.467,0.553,2.88E+11
350,인텔리안테크놀로지스,319,1.3,0,20161018,19000,18750,-1.32,49296,4925,1,744.63,20160928,20161007,18000,20500,45.56,-0.003,-0.124,0.467,0.314,1.36E+11
351,에이치시티,95.67,11.6,0,20161017,17000,19500,14.71,24454,4894,1,127.28,20160928,20161007,19200,22500,52.87,0,-0.066,0.467,0.359,77858878000
352,앤디포스,406.09,10.6,0,20161012,14500,17500,20.69,57458,13758,0.71,524.2,20160926,20161005,13000,14500,26.03,-0.015,-0.102,0.467,0.349,2.19E+11
353,수산아이앤티,157.55,0.64,0,20161011,11500,11500,0,14082,4296,1,12.97,20160922,20160930,10500,11500,50.92,0.007,0.024353056,0.467,0.257,77636500000
354,엔지스테크널러지,475.6,21.2,0,20160728,10000,19000,90,6328,1753,1,562.94,20160713,20160720,8900,10000,34.98,0.006,0.015,0.6,0.125,31271800000
355,팍스넷,753.07,5.19,0,20160801,5200,10400,100,20588,3631,1,946.51,20160711,20160720,4600,5200,51.17,0.001,0.011,0.6,0.256,57603109200
356,우리손에프앤지,455.1,40.4,0,20160727,2210,4000,81,155022,14990,0.5,638.97,20160711,20160719,1935,2210,18.46,0.002,0.049,0.6,0.406,1.35E+11
357,옵토팩,397.4,2.82,0,20160720,5900,6210,5.25,31661,-356,1,371.21,20160705,20160712,5000,5900,63.46,-0.004,-0.139,0.6,0.233,26133176800
358,장원테크,216.32,11.3,0,20160715,17500,22250,27.14,202485,21381,0.8,854.49,20160704,20160708,15000,17500,33.6,0.006,0.024353056,0.6,0.467,1.06E+11
359,한국자산신탁,149.83,6.37,1,20160713,10300,9900,-3.88,83392,36292,1,6.65,20160623,20160701,9100,10300,29.31,0.007,0.024353056,0.6,0.188,8.76E+11
360,바이오리더스,352.2,6.5,0,20160707,15000,17100,14,1167,-5429,1,1222.58,20160622,20160628,11000,15000,66.99,0.008,-0.094,0.6,0.367,1.85E+11
361,피앤씨테크,306.39,10.89,0,20160704,10200,11000,7.84,23950,4889,1,679.77,20160616,20160623,9000,10200,41.19,0.004,0.043,0.6,0.523,66265320000
362,해성디에스,188.69,12.2,1,20160624,12000,16700,39.17,246043,14687,1,158.41,20160609,20160616,12000,15000,55.72,0.016,0.024353056,0.8,0.322,2.04E+11
363,에스티팜,717.41,60.03,0,20160623,29000,47000,62.07,138052,25189,1,236.85,20160609,20160616,24000,27000,32.58,-0.002,0.07,0.8,0.4,5.41E+11
364,녹십자랩셀,733.72,51.66,0,20160623,18500,37000,100,34489,2260,1,79976,20160608,20160616,13600,15900,33.96,-0.002,0.102,0.8,0.4,1.95E+11
365,용평리조트,28.1,0.1,1,20160527,7000,9000,28.57,133592,3956,1,291.1,20160510,20160518,8100,9200,30.26,0.001,0.024353056,0.8,0.304,3.37E+11
366,해태제과식품,342.99,24.63,1,20160511,15100,18960,25.56,689963,4275,1,264.9,20160421,20160428,12300,15100,23.24,0.013,0.024353056,0.8,0.481,4.16E+11
367,레이언스,430.31,20.7,0,20160411,25000,23700,-5.2,77943,3217,1,328.14,20160324,20160331,22000,25000,30.84,0,-0.033,0.8,0.528,4.15E+11
368,씨엠에스에듀,302.17,28.83,0,20160407,23200,26800,15.52,38273,6408,1,185.81,20160324,20160330,19000,23200,22.76,0.016,-0.095,0.8,0.472,97564120000
369,대림씨엔에스,85.25,15.9,1,20160330,27700,24950,-9.93,257906,19318,1,25.5,20160315,20160322,23500,27700,27.15,0.017,0.024353056,0.282,0.214,3.53E+11
370,팬젠,614.46,14.04,0,20160311,16500,24900,50.91,3400,-2120,1,1073,20160223,20160303,12500,16500,56.55,-0.003,0.092,0.282,0.286,1.42E+11
371,에이피위성통신,271.55,7.8,0,20160304,9700,12400,27.84,34571,7042,1,869.66,20160215,20160224,8700,9700,40.9,0.001,0.024353056,0.282,0,1.27E+11
372,큐리언트,709.15,35.24,0,20160229,21000,33900,61.43,215,-10706,1,959.28,20160215,20160219,18000,21000,39.1,0.002,-0.179,0.282,0.392,1.52E+11
373,안트로젠,531.1,30.6,0,20160215,24000,38000,58.33,1834,-1416,1,1442.55,20160127,20160202,17000,22000,41.82,0.017,0.04,0.282,0.794,1.79E+11
374,제이에스코퍼레이션,433.6,35.9,1,20160204,23000,39100,70,162608,20087,1,477.76,20160120,20160127,19000,23000,16.22,-0.003,0.024353056,0.282,0.392,3.08E+11
375,아이엠텍,112.3,25,0,20160203,7500,8500,13.33,46553,5180,1,138.9,20160120,20160127,6500,7500,41.27,-0.022,-0.025,0.282,0.558,1.26E+11
376,유니트론텍,455.8,21.7,0,20160202,14000,25300,80.71,86379,5657,1,1112.76,20160114,20160122,12300,14000,55.94,0.001,0.093,0.282,0.257,46349100000
377,한솔씨앤피,136.97,5.97,0,20160127,13000,18950,45.77,50873,3745,1,789.84,20160113,20160120,13000,16800,38.66,0.011,0.026408946,0.282,0.222,44984420000
378,코리아오토글라스,57.68,4.47,1,20151229,11000,11600,5.45,429725,25480,1,430.14,20151214,20151222,10500,12000,31.08,-0.001,0.024353056,0.333,0.419,2.20E+11
379,코디엠,39.79,2.51,0,20151229,4700,7490,59.36,38105,1914,1,599.99,20151210,20151216,4700,5800,27.64,-0.001,0.026408946,0.333,0.611,17830061000
380,이에스브이,23.29,2.38,0,20151224,10000,18500,85,32746,2239,1,558.9,20151210,20151216,13000,15000,28.58,0.009,0.026408946,0.333,0.314,66274000000
381,잇츠스킨,11.53,8.7,1,20151228,170000,172000,1.18,241884,76331,1,219.27,20151210,20151218,208500,253000,9.35,0.001,0.024353056,0.333,0.303,1.49E+12
382,아진산업,11.61,8.7,0,20151222,6500,7620,17.23,134258,15665,1,0.47,20151209,20151215,6500,7500,42.36,0.009,0.026408946,0.333,0.459,81576950000
383,휴젤,6.7,8.61,0,20151224,150000,199500,33,23269,10758,1,91.63,20151209,20151216,190000,210000,46.1,0.009,0.026408946,0.333,0.516,4.93E+11
384,한국맥널티,60.5,0.2,0,20151223,8000,16000,100,19421,5340,1,479.79,20151208,20151215,10500,11500,23.83,0.006,0.026408946,0.333,0.475,39800000000
385,덱스터,255.31,33.1,0,20151222,14000,24800,77.14,18665,2862,1,500.76,20151208,20151215,11000,14000,29.13,0.009,0.026408946,0.333,0.267,1.50E+11
386,메가엠디,16.67,7.5,0,20151218,3000,5020,67.33,61775,5146,1,280.82,20151207,20151211,3600,4600,30.54,-0.014,0.026408946,0.333,0.633,61204704000
387,씨트리,4.7,0.6,0,20151221,6500,9250,42.31,17164,305,1,199.96,20151207,20151211,8300,10200,71.75,-0.016,0.026408946,0.333,0.217,45651742500
388,파크시스템스,50.29,57.3,0,20151217,9000,11000,22.22,15293,-717,1,7.55,20151203,20151210,9000,11000,52.79,0.015,0.026408946,0.333,0.235,57880395000
389,예스티,32.9,73.3,0,20151216,14500,15500,6.9,40423,670,1,9.8,20151202,20151209,14500,18500,40.47,0.009,0.026408946,0.333,0.415,62746154500
390,뉴트리바이오텍,93.92,28.32,0,20151216,21000,23000,9.52,45409,2388,1,2.38,20151201,20151208,21000,24000,41.41,0.009,0.026408946,0.333,0.392,2.17E+11
391,엔에스,179.61,21.42,0,20151207,8000,12950,61.88,20780,1614,1,29.5,20151116,20151125,6300,7200,36.84,0.021,0.026408946,0.333,0.453,39200000000
392,세진중공업,8.89,26.5,1,20151130,3500,3495,-0.14,567935,17912,1,2.29,20151112,20151120,3500,3900,30.43,0.002,0.024353056,0.333,0.364,1.34E+11
393,미래테크놀로지,117.3,5.7,0,20151201,16100,14950,-7.14,17388,3897,1,1.5,20151112,20151120,14300,16100,25.36,-0.004,0.026408946,0.333,0.104,89274500000
394,엠지메드,715.39,14.86,0,20151120,40000,41000,2.5,4691,208,1,1350.05,20151105,20151112,33000,40000,38.95,0,0.026408946,0.333,0.28,82992800000
395,매직마이크로,75.03,1.33,0,20151119,5500,5420,-1.45,53279,3413,1,36.57,20151105,20151111,5200,6400,45.49,0.018,0.026408946,0.333,0.026,34221687500
396,케이디켐,66.2,3,0,20151119,16000,14850,-7.19,43295,4401,1,5.46,20151104,20151111,14700,17800,28.06,0.018,0.026408946,0.333,0.129,64556800000
397,하이즈항공,47.27,0.89,0,20151125,18000,16200,-10,31291,3109,1,3.08,20151104,20151113,23000,26000,44.36,0,0.026408946,0.333,0.564,3.15E+11
398,리드,42.89,7,0,20151120,5100,4590,-10,40483,2004,1,45.64,20151104,20151112,4500,5100,67.33,0,0.026408946,0.333,0.412,23567854800
399,네오오토,113.08,3.54,0,20151118,12000,11800,-1.67,108776,6831,1,34.44,20151102,20151110,11400,12800,25.24,0,0.026408946,0.333,0.5,63000000000
400,아이진,408.1,7.5,0,20151116,13500,12900,-4.44,27546,-2926,1,267.72,20151029,20151105,12000,13500,64.5,-0.015,0.026408946,0.333,0.214,1.35E+11
401,나무가,108.34,3.62,0,20151112,37000,33400,-9.73,218331,1822,1,0.91,20151028,20151104,32000,37000,26.53,-0.003,0.026408946,0.333,0.175,1.24E+11
402,유앤아이,377.4,4,0,20151112,30000,28650,-4.5,15639,1553,1,638.25,20151028,20151103,25000,30000,60.47,-0.003,0.026408946,0.333,0.2,2.26E+11
403,케어젠,833.46,62,0,20151117,110000,101500,-7.73,28584,14155,1,263.19,20151027,20151105,80000,90000,17.78,0.012,0.026408946,0.333,0.605,1.18E+12
404,금호에이치티,46.05,8,1,20151111,10000,9500,-5,175222,13520,1,32.87,20151027,20151103,12700,15700,51.58,-0.002,0.024353056,0.333,0.724,97650000000
405,제주항공,378.67,77.99,1,20151106,30000,49500,65,510636,32007,1,448.5,20151021,20151029,23000,28000,16.74,-0.003,0.024353056,0.333,0.31,7.77E+11
406,더블유게임즈,413.82,14.66,0,20151104,65000,65100,0.15,71257,27908,1,241.18,20151019,20151027,51000,61000,37.43,0.004,0.026408946,0.333,0.848,1.11E+12
407,연우,317,51,0,20151102,25200,28150,11.71,168759,8670,1,680,20151015,20151023,20300,25200,24.13,-0.004,0.026408946,0.333,0.169,2.91E+11
408,에이티젠,695.7,40.6,0,20151023,17000,34000,100,1678,-6031,1,1166.97,20151007,20151015,12500,14500,54.57,0.017,0.026408946,0.333,0.566,1.71E+11
409,에치디프로,362.84,6.21,0,20151013,8900,9580,7.64,66063,2664,1,843.36,20150923,20151002,7800,8900,27.56,0.002,0.026408946,0.333,0.111,51128906900
410,엘아이지넥스원,121.11,21.5,1,20151002,76000,68400,-10,1400164,50554,1,4.74,20150917,20150923,66000,76000,21.05,0.001,0.024353056,0.333,0.125,1.67E+12
411,타이거일렉,230.02,1.36,0,20150925,6000,5720,-4.67,25327,2694,1,241.92,20150910,20150917,6000,6900,25.4,-0.004,0.026408946,0.692,0.436,37015740000
412,동일제강,309.7,3.1,1,20150924,3000,3870,29,122158,6315,1,789.49,20150910,20150918,2700,3300,31.38,-0.001,0.024353056,0.692,0.523,45000000000
413,제너셈,326.77,4.15,0,20150925,10500,11000,4.76,32193,5028,1,797.33,20150909,20150916,9000,10500,44.68,-0.004,0.026408946,0.692,0.373,46038163500
414,인포마크,251.2,12,0,20150923,14000,25000,78.57,70657,3389,1,381,20150909,20150916,12000,14000,41.8,-0.015,0.026408946,0.692,0.342,49051912000
415,아이콘트롤스,272.96,29.1,1,20150924,32000,31650,-1.09,131222,4580,1,280.11,20150908,20150916,28000,32000,29.64,-0.001,0.024353056,0.692,0.333,2.63E+11
416,웹스,438.83,33.54,0,20150824,7200,11400,58.33,27878,3328,1,1114.21,20150805,20150813,6500,7200,38.03,-0.035,0.026408946,0.692,0.242,48484800000
417,에이제이네트웍스,197.15,20.06,1,20150821,34300,30900,-9.91,194185,18461,1,83.3,20150804,20150811,30200,34300,16.97,-0.028,0.024353056,0.692,0.133,3.21E+11
418,파인텍,382.64,45.68,0,20150817,10500,21000,100,141968,11825,1,1041.73,20150728,20150805,9000,10500,46.58,0.003,0.026408946,0.692,0.667,56864335500
419,흥국에프엔비,666.88,63.87,0,20150807,20000,40000,100,35084,6272,1,1001.61,20150722,20150730,14500,17500,24.23,-0.016,0.026408946,0.692,0.574,1.41E+11
420,아시아경제신문사,280.85,15.82,0,20150731,3600,3240,-10,32652,4325,1,12.31,20150715,20150723,3200,3600,35.51,0.003,0.026408946,0.692,0,90878508000
421,아이쓰리시스템,768,37.6,0,20150730,36000,63000,75,30914,5314,1,1506.57,20150714,20150721,28500,31500,29.74,0.004,0.026408946,0.692,0.119,1.19E+11
422,로지시스,345.68,13.28,0,20150729,2500,4180,67.2,32026,1745,1,396.82,20150713,20150721,2000,2500,27.95,0.01,0.026408946,0.692,0.353,23352305000
423,파마리서치프로덕트,728.06,57.9,0,20150724,55000,110000,100,24765,8838,1,561,20150708,20150716,40000,47000,23.81,-0.005,0.026408946,0.692,0.588,4.85E+11
424,펩트론,699.59,67.4,0,20150722,16000,32000,100,3103,-2059,1,1093.01,20150706,20150714,9000,12000,57.8,-0.002,0.026408946,0.692,0.66,1.04E+11
425,이노션,273.09,52.4,1,20150717,68000,66500,-2.21,744734,83835,1,204.13,20150701,20150709,64000,71000,21.14,0.013,0.024353056,0.692,0.283,1.36E+12
426,토니모리,441.86,55.2,1,20150710,32000,64000,100,205150,11614,1,771.08,20150624,20150702,26400,30200,11.72,0.003,0.024353056,0.692,0.192,3.76E+11
427,미래에셋생명보험,40.3,2.07,1,20150708,7500,7400,-1.33,3928349,121030,1,38.01,20150622,20150630,8200,10000,47.32,0.001,0.024353056,0.692,0.36,1.09E+12
428,민앤지,728.82,45.4,0,20150630,28000,56000,100,17677,5284,1,1107.81,20150617,20150623,21200,24000,45.68,-0.024,0.026408946,0.333,0.283,1.59E+11
429,동운아나텍,101.68,7.08,0,20150630,10000,12500,25,44453,5747,1,47.76,20150616,20150623,10000,12000,64.58,-0.024,0.026408946,0.333,0.319,58770000000
430,유테크,351.1,8.59,0,20150630,9000,12550,39.44,51362,4185,1,21.14,20150615,20150619,8000,9000,45.32,-0.024,0.026408946,0.333,0.286,45722700000
431,코아스템,868.62,41.74,0,20150626,16000,32000,100,12988,-6325,1,751.91,20150611,20150618,10800,13200,47.6,-0.002,0.026408946,0.333,0.422,2.51E+11
432,에스엔텍,189.14,19.88,0,20150626,6500,10000,53.85,32465,3473,1,22.9,20150610,20150618,5600,6300,42.33,-0.002,0.026408946,0.333,0.421,46998698500
433,경보제약,524.56,34.44,1,20150629,15000,30000,100,169781,8636,1,263.87,20150610,20150619,13000,15000,23.73,-0.006,0.024353056,0.333,0.259,3.59E+11
434,세미콘라이트,187.7,4.5,0,20150625,11300,11500,1.77,48137,6246,1,143.52,20150609,20150617,11300,13700,52.31,-0.007,0.026408946,0.333,0.316,58760000000
435,에스케이디앤디,570.59,36.7,1,20150623,26000,52000,100,174859,19121,1,574.68,20150604,20150611,20200,24300,17.37,0.007,0.024353056,0.333,0.25,2.57E+11
436,싸이맥스,238.72,2.93,0,20150617,16300,15200,-6.75,54714,5993,1,178.03,20150528,20150605,14300,16300,56.88,0.005,0.026408946,0.333,0.256,87284266900
437,픽셀플러스,131.67,2.25,0,20150612,30000,27000,-10,123937,20127,1,68.09,20150526,20150603,33000,37000,70.14,0.001,0.026408946,0.333,0.531,2.45E+11
438,제노포커스,842.79,41.12,0,20150529,11000,22000,100,2195,112,1,1206.75,20150513,20150519,8000,9000,38.85,-0.002,0.026408946,0.333,0.655,80917870000
439,유지인트,643.7,27.15,0,20150413,15000,29150,94.33,43378,4884,1,857.34,20150326,20150403,12400,14000,38.38,0.004,0.026408946,0.333,0.128,1.73E+11
440,NS쇼핑,302.59,15.66,1,20150327,235000,211500,-10,347135,54619,1,236.82,20150309,20150317,205000,235000,42.8,-0.003,0.024353056,0.484,0.292,7.92E+11
441,세화아이엠씨,216.35,10.45,1,20150319,16300,18100,11.04,220665,4108,1,731.79,20150303,20150311,14500,16300,48.35,0.009,0.024353056,0.484,0.458,1.85E+11
442,넥스트엔터테인먼트월드,214.69,9.59,0,20141223,16300,15800,-3.07,122061,12028,1,33.55,20141209,20141216,12700,16300,29.04,0.003,0.026408946,0.4,0.078,2.24E+11
443,아스트,74.59,5.74,0,20141224,9500,8550,-10,60885,-6517,1,4.11,20141209,20141216,7000,10000,54.04,-0.003,0.026408946,0.4,0.364,1.19E+11
444,휴메딕스,688.8,35.18,0,20141226,28000,43600,55.71,23544,9137,1,571.55,20141208,20141216,22700,25500,51.47,0.002,0.026408946,0.4,0.208,1.74E+11
445,제일모직,465,35.14,1,20141218,53000,106000,100,3018454,96302,1,194.9,20141203,20141211,45000,53000,14.68,0.021,0.024353056,0.4,0.175,7.16E+12
446,하이로닉,500.56,22.7,0,20141217,51000,63800,25.1,13420,3096,1,219.96,20141202,20141209,43000,47400,33.76,-0.012,0.026408946,0.4,0.5,1.42E+11
447,디티앤씨,559.02,74.3,0,20141217,18500,30000,62.16,20236,4519,1,620.63,20141202,20141209,14500,18500,18.63,-0.012,0.024353056,0.4,0.475,1.82E+11
448,에이디테크놀로지,33.19,7.53,0,20141216,15000,13500,-10,42419,3042,1,12.4,20141201,20141205,16000,18000,47.95,-0.01,0.026408946,0.4,0.514,60145425000
449,알테오젠,409.2,14.4,0,20141212,26000,25150,-3.27,5527,1606,1,564.78,20141127,20141203,23000,26000,45.65,0.005,0.026408946,0.4,0.443,1.52E+11
450,비씨월드제약,356.75,26.6,0,20141215,15700,18100,15.29,30375,3454,1,681,20141126,20141204,12000,15700,34.51,-0.012,0.026408946,0.4,0.434,1.05E+11
451,에프엔씨엔터테인먼트,185.35,9.91,0,20141204,28000,25200,-10,24838,1691,1,577.37,20141118,20141125,24000,28000,26.74,0.004,0.026408946,0.4,0.262,1.77E+11
452,씨에스윈드,109.3,1.79,1,20141127,43500,39150,-10,296488,26861,1,66.4,20141113,20141120,31000,43500,27.59,0.006,0.024353056,0.4,0.235,7.52E+11
453,텔콘,162.88,5.53,0,20141124,14500,13800,-4.83,46462,8207,1,482.06,20141110,20141114,12500,14500,24.95,0.002,0.026408946,0.4,0.286,72819000000
454,디에이테크놀로지,55.28,1.81,0,20141119,6600,7800,18.18,28863,2081,1,488.77,20141105,20141111,6600,8500,48.41,0.007,0.026408946,0.4,0.312,34608420000
455,파티게임즈,224.12,24.62,0,20141121,13000,26000,100,27040,8748,1,735.99,20141104,20141112,10500,13000,17.14,0.006,0.026408946,0.4,0.242,62010000000
456,삼성SDS,651.5,48.11,1,20141114,190000,380000,100,7046833,325983,1,134.19,20141029,20141106,150000,190000,33.96,0.001,0.024353056,0.4,0.388,1.47E+13
457,테고사이언스,591.09,30.5,0,20141106,13500,27000,100,6307,1596,1,622.14,20141022,20141029,10500,12500,36.11,-0.001,0.026408946,0.4,0.22,48060000000
458,슈피겐코리아,255.6,30.86,0,20141105,27500,37100,34.91,54240,9495,1,360.12,20141020,20141028,22500,27500,25.38,-0.003,0.026408946,0.4,0.339,1.71E+11
459,데브시스터즈,651.66,29.98,0,20141006,53000,71000,33.96,61303,22326,1,285.28,20140918,20140925,43000,50000,31.78,0.01,0.026408946,0.4,0.621,5.72E+11
460,쿠쿠전자,598.86,65.18,1,20140806,104000,180000,73.08,508758,57440,1,175.1,20140723,20140730,80000,104000,10.22,-0.007,0.024353056,1,0.3,1.02E+12
461,신화콘텍,441.99,10.37,0,20140808,9100,8190,-10,51059,6446,1,99.3,20140721,20140731,8100,9100,27.26,-0.005,0.026408946,1,0.667,73272817800
462,덕신하우징,650.72,59.86,0,20140801,13000,21650,66.54,104434,11718,1,899.07,20140715,20140724,9600,11000,30.44,-0.021,0.026408946,1,0.375,1.04E+11
463,창해에탄올,578.2,59.5,0,20140730,8300,16600,100,69032,14887,1,675.79,20140714,20140722,6000,6900,28.3,0,0.026408946,1,0.481,54885659000
464,윈하이텍,444.1,55.6,0,20140725,8300,13300,60.24,57400,7122,1,589.58,20140710,20140717,6600,7500,28.19,0,0.026408946,1,0.381,54782490000
